Wavelength	Intensity
5.000000000000E+2	1.543333333333E+1
5.000293255132E+2	8.866666666667E+0
5.000586510264E+2	1.173333333333E+1
5.000879765396E+2	1.633333333333E+1
5.001173020528E+2	1.336666666667E+1
5.001466275660E+2	1.820000000000E+1
5.001759530792E+2	1.033333333333E+1
5.002052785924E+2	1.193333333333E+1
5.002346041056E+2	8.166666666667E+0
5.002639296188E+2	9.766666666667E+0
5.002932551320E+2	1.860000000000E+1
5.003225806452E+2	1.240000000000E+1
5.003519061584E+2	1.393333333333E+1
5.003812316716E+2	1.276666666667E+1
5.004105571848E+2	2.050000000000E+1
5.004398826979E+2	1.253333333333E+1
5.004692082111E+2	1.090000000000E+1
5.004985337243E+2	2.003333333333E+1
5.005278592375E+2	1.333333333333E+1
5.005571847507E+2	1.946666666667E+1
5.005865102639E+2	1.100000000000E+1
5.006158357771E+2	5.966666666667E+0
5.006451612903E+2	8.400000000000E+0
5.006744868035E+2	8.266666666667E+0
5.007038123167E+2	1.503333333333E+1
5.007331378299E+2	1.273333333333E+1
5.007624633431E+2	1.016666666667E+1
5.007917888563E+2	1.190000000000E+1
5.008211143695E+2	8.400000000000E+0
5.008504398827E+2	1.396666666667E+1
5.008797653959E+2	7.866666666667E+0
5.009090909091E+2	1.570000000000E+1
5.009384164223E+2	1.763333333333E+1
5.009677419355E+2	1.826666666667E+1
5.009970674487E+2	2.150000000000E+1
5.010263929619E+2	1.143333333333E+1
5.010557184751E+2	1.070000000000E+1
5.010850439883E+2	2.430000000000E+1
5.011143695015E+2	1.290000000000E+1
5.011436950147E+2	1.283333333333E+1
5.011730205279E+2	1.376666666667E+1
5.012023460411E+2	2.030000000000E+1
5.012316715543E+2	1.083333333333E+1
5.012609970674E+2	6.166666666667E+0
5.012903225806E+2	9.533333333333E+0
5.013196480938E+2	1.056666666667E+1
5.013489736070E+2	2.253333333333E+1
5.013782991202E+2	1.986666666667E+1
5.014076246334E+2	2.090000000000E+1
5.014369501466E+2	1.306666666667E+1
5.014662756598E+2	1.070000000000E+1
5.014956011730E+2	1.643333333333E+1
5.015249266862E+2	1.363333333333E+1
5.015542521994E+2	1.773333333333E+1
5.015835777126E+2	2.260000000000E+1
5.016129032258E+2	1.246666666667E+1
5.016422287390E+2	1.126666666667E+1
5.016715542522E+2	7.333333333333E+0
5.017008797654E+2	1.416666666667E+1
5.017302052786E+2	1.090000000000E+1
5.017595307918E+2	1.220000000000E+1
5.017888563050E+2	1.923333333333E+1
5.018181818182E+2	1.420000000000E+1
5.018475073314E+2	1.566666666667E+1
5.018768328446E+2	1.420000000000E+1
5.019061583578E+2	2.026666666667E+1
5.019354838710E+2	1.583333333333E+1
5.019648093842E+2	1.733333333333E+1
5.019941348974E+2	2.343333333333E+1
5.020234604106E+2	1.506666666667E+1
5.020527859238E+2	1.586666666667E+1
5.020821114370E+2	1.876666666667E+1
5.021114369501E+2	1.526666666667E+1
5.021407624633E+2	2.053333333333E+1
5.021700879765E+2	1.236666666667E+1
5.021994134897E+2	1.470000000000E+1
5.022287390029E+2	1.760000000000E+1
5.022580645161E+2	1.780000000000E+1
5.022873900293E+2	2.300000000000E+1
5.023167155425E+2	1.903333333333E+1
5.023460410557E+2	2.160000000000E+1
5.023753665689E+2	1.726666666667E+1
