Wavelength	Intensity
5.000000000000E+2	1.556000000000E+1
5.000293255132E+2	1.280000000000E+1
5.000586510264E+2	1.555000000000E+1
5.000879765396E+2	1.808000000000E+1
5.001173020528E+2	1.191000000000E+1
5.001466275660E+2	1.457000000000E+1
5.001759530792E+2	1.032000000000E+1
5.002052785924E+2	1.483000000000E+1
5.002346041056E+2	1.660000000000E+1
5.002639296188E+2	1.384000000000E+1
5.002932551320E+2	1.849000000000E+1
5.003225806452E+2	1.035000000000E+1
5.003519061584E+2	1.157000000000E+1
5.003812316716E+2	1.081000000000E+1
5.004105571848E+2	1.642000000000E+1
5.004398826979E+2	1.246000000000E+1
5.004692082111E+2	1.058000000000E+1
5.004985337243E+2	1.432000000000E+1
5.005278592375E+2	1.058000000000E+1
5.005571847507E+2	1.629000000000E+1
5.005865102639E+2	1.227000000000E+1
5.006158357771E+2	9.220000000000E+0
5.006451612903E+2	1.492000000000E+1
5.006744868035E+2	1.148000000000E+1
5.007038123167E+2	1.728000000000E+1
5.007331378299E+2	1.693000000000E+1
5.007624633431E+2	1.112000000000E+1
5.007917888563E+2	1.656000000000E+1
5.008211143695E+2	1.311000000000E+1
5.008504398827E+2	1.866000000000E+1
5.008797653959E+2	1.263000000000E+1
5.009090909091E+2	1.546000000000E+1
5.009384164223E+2	1.371000000000E+1
5.009677419355E+2	1.151000000000E+1
5.009970674487E+2	1.646000000000E+1
5.010263929619E+2	1.210000000000E+1
5.010557184751E+2	1.574000000000E+1
5.010850439883E+2	1.641000000000E+1
5.011143695015E+2	1.319000000000E+1
5.011436950147E+2	1.833000000000E+1
5.011730205279E+2	1.073000000000E+1
5.012023460411E+2	1.423000000000E+1
5.012316715543E+2	1.864000000000E+1
5.012609970674E+2	1.237000000000E+1
5.012903225806E+2	1.415000000000E+1
5.013196480938E+2	1.063000000000E+1
5.013489736070E+2	1.369000000000E+1
5.013782991202E+2	9.650000000000E+0
5.014076246334E+2	1.407000000000E+1
5.014369501466E+2	2.017000000000E+1
5.014662756598E+2	1.449000000000E+1
5.014956011730E+2	1.692000000000E+1
5.015249266862E+2	1.305000000000E+1
5.015542521994E+2	1.571000000000E+1
5.015835777126E+2	1.332000000000E+1
5.016129032258E+2	1.342000000000E+1
5.016422287390E+2	1.951000000000E+1
5.016715542522E+2	1.378000000000E+1
5.017008797654E+2	1.631000000000E+1
5.017302052786E+2	1.330000000000E+1
5.017595307918E+2	1.092000000000E+1
5.017888563050E+2	1.609000000000E+1
5.018181818182E+2	1.141000000000E+1
5.018475073314E+2	1.452000000000E+1
5.018768328446E+2	1.008000000000E+1
5.019061583578E+2	1.373000000000E+1
5.019354838710E+2	1.643000000000E+1
5.019648093842E+2	1.051000000000E+1
5.019941348974E+2	1.131000000000E+1
5.020234604106E+2	6.380000000000E+0
5.020527859238E+2	1.096000000000E+1
5.020821114370E+2	1.436000000000E+1
5.021114369501E+2	9.900000000000E+0
5.021407624633E+2	1.336000000000E+1
5.021700879765E+2	1.221000000000E+1
5.021994134897E+2	1.852000000000E+1
5.022287390029E+2	1.466000000000E+1
5.022580645161E+2	1.159000000000E+1
5.022873900293E+2	1.650000000000E+1
5.023167155425E+2	1.166000000000E+1
5.023460410557E+2	1.351000000000E+1
5.023753665689E+2	1.048000000000E+1
5.024046920821E+2	1.613000000000E+1
5.024340175953E+2	1.511000000000E+1
5.024633431085E+2	1.115000000000E+1
5.024926686217E+2	1.607000000000E+1
5.025219941349E+2	1.098000000000E+1
5.025513196481E+2	1.457000000000E+1
5.025806451613E+2	1.760000000000E+1
5.026099706745E+2	1.220000000000E+1
5.026392961877E+2	1.575000000000E+1
5.026686217009E+2	1.212000000000E+1
5.026979472141E+2	1.618000000000E+1
5.027272727273E+2	1.365000000000E+1
5.027565982405E+2	1.045000000000E+1
5.027859237537E+2	1.609000000000E+1
5.028152492669E+2	1.208000000000E+1
5.028445747801E+2	1.523000000000E+1
5.028739002933E+2	1.159000000000E+1
5.029032258065E+2	1.521000000000E+1
5.029325513196E+2	1.598000000000E+1
5.029618768328E+2	1.167000000000E+1
5.029912023460E+2	1.435000000000E+1
5.030205278592E+2	1.105000000000E+1
5.030498533724E+2	1.685000000000E+1
5.030791788856E+2	1.576000000000E+1
5.031085043988E+2	1.108000000000E+1
5.031378299120E+2	1.410000000000E+1
5.031671554252E+2	9.410000000000E+0
5.031964809384E+2	1.287000000000E+1
5.032258064516E+2	1.244000000000E+1
5.032551319648E+2	1.281000000000E+1
5.032844574780E+2	1.936000000000E+1
5.033137829912E+2	1.350000000000E+1
5.033431085044E+2	1.608000000000E+1
5.033724340176E+2	1.136000000000E+1
5.034017595308E+2	1.595000000000E+1
5.034310850440E+2	1.361000000000E+1
5.034604105572E+2	9.420000000000E+0
5.034897360704E+2	1.344000000000E+1
5.035190615836E+2	7.580000000000E+0
5.035483870968E+2	1.099000000000E+1
5.035777126100E+2	1.653000000000E+1
5.036070381232E+2	1.171000000000E+1
5.036363636364E+2	1.773000000000E+1
5.036656891496E+2	1.303000000000E+1
5.036950146628E+2	1.649000000000E+1
5.037243401760E+2	1.352000000000E+1
5.037536656891E+2	9.300000000000E+0
5.037829912023E+2	1.307000000000E+1
5.038123167155E+2	1.091000000000E+1
5.038416422287E+2	1.645000000000E+1
5.038709677419E+2	1.222000000000E+1
5.039002932551E+2	1.674000000000E+1
5.039296187683E+2	1.440000000000E+1
5.039589442815E+2	1.121000000000E+1
5.039882697947E+2	1.548000000000E+1
5.040175953079E+2	1.169000000000E+1
5.040469208211E+2	1.454000000000E+1
5.040762463343E+2	1.772000000000E+1
5.041055718475E+2	1.148000000000E+1
5.041348973607E+2	1.266000000000E+1
5.041642228739E+2	1.030000000000E+1
5.041935483871E+2	1.595000000000E+1
5.042228739003E+2	1.051000000000E+1
5.042521994135E+2	8.760000000000E+0
5.042815249267E+2	1.620000000000E+1
5.043108504399E+2	1.174000000000E+1
5.043401759531E+2	1.439000000000E+1
5.043695014663E+2	1.093000000000E+1
5.043988269795E+2	1.314000000000E+1
5.044281524927E+2	1.419000000000E+1
5.044574780059E+2	1.074000000000E+1
5.044868035191E+2	1.522000000000E+1
5.045161290323E+2	1.035000000000E+1
5.045454545455E+2	1.478000000000E+1
5.045747800587E+2	1.756000000000E+1
5.046041055718E+2	1.101000000000E+1
5.046334310850E+2	1.305000000000E+1
5.046627565982E+2	9.140000000000E+0
5.046920821114E+2	1.490000000000E+1
5.047214076246E+2	1.833000000000E+1
5.047507331378E+2	1.160000000000E+1
5.047800586510E+2	1.412000000000E+1
5.048093841642E+2	1.035000000000E+1
5.048387096774E+2	1.339000000000E+1
5.048680351906E+2	7.590000000000E+0
5.048973607038E+2	9.630000000000E+0
5.049266862170E+2	1.438000000000E+1
5.049560117302E+2	1.020000000000E+1
5.049853372434E+2	1.400000000000E+1
5.050146627566E+2	1.105000000000E+1
5.050439882698E+2	1.673000000000E+1
5.050733137830E+2	1.347000000000E+1
5.051026392962E+2	7.580000000000E+0
5.051319648094E+2	1.156000000000E+1
5.051612903226E+2	9.580000000000E+0
5.051906158358E+2	1.474000000000E+1
5.052199413490E+2	1.728000000000E+1
5.052492668622E+2	1.233000000000E+1
5.052785923754E+2	1.812000000000E+1
5.053079178886E+2	1.181000000000E+1
5.053372434018E+2	1.351000000000E+1
5.053665689150E+2	1.095000000000E+1
5.053958944282E+2	1.802000000000E+1
5.054252199413E+2	1.319000000000E+1
5.054545454545E+2	1.019000000000E+1
5.054838709677E+2	1.508000000000E+1
5.055131964809E+2	1.186000000000E+1
5.055425219941E+2	1.642000000000E+1
5.055718475073E+2	1.277000000000E+1
5.056011730205E+2	9.570000000000E+0
5.056304985337E+2	1.645000000000E+1
5.056598240469E+2	1.322000000000E+1
5.056891495601E+2	1.752000000000E+1
5.057184750733E+2	1.818000000000E+1
5.057478005865E+2	1.371000000000E+1
5.057771260997E+2	1.546000000000E+1
5.058064516129E+2	1.388000000000E+1
5.058357771261E+2	1.841000000000E+1
5.058651026393E+2	1.315000000000E+1
5.058944281525E+2	1.901000000000E+1
5.059237536657E+2	1.819000000000E+1
5.059530791789E+2	1.332000000000E+1
5.059824046921E+2	1.717000000000E+1
5.060117302053E+2	1.430000000000E+1
5.060410557185E+2	1.796000000000E+1
5.060703812317E+2	1.726000000000E+1
5.060997067449E+2	1.518000000000E+1
5.061290322581E+2	2.014000000000E+1
5.061583577713E+2	1.628000000000E+1
5.061876832845E+2	1.900000000000E+1
5.062170087977E+2	1.869000000000E+1
5.062463343109E+2	1.501000000000E+1
5.062756598240E+2	1.906000000000E+1
5.063049853372E+2	1.466000000000E+1
5.063343108504E+2	1.808000000000E+1
5.063636363636E+2	1.611000000000E+1
5.063929618768E+2	2.073000000000E+1
5.064222873900E+2	1.980000000000E+1
5.064516129032E+2	1.571000000000E+1
5.064809384164E+2	1.853000000000E+1
5.065102639296E+2	1.700000000000E+1
5.065395894428E+2	2.286000000000E+1
5.065689149560E+2	1.753000000000E+1
5.065982404692E+2	1.753000000000E+1
5.066275659824E+2	2.513000000000E+1
5.066568914956E+2	1.842000000000E+1
5.066862170088E+2	1.794000000000E+1
5.067155425220E+2	2.288000000000E+1
5.067448680352E+2	1.983000000000E+1
5.067741935484E+2	2.494000000000E+1
5.068035190616E+2	2.100000000000E+1
5.068328445748E+2	2.247000000000E+1
5.068621700880E+2	1.946000000000E+1
5.068914956012E+2	2.094000000000E+1
5.069208211144E+2	2.582000000000E+1
5.069501466276E+2	2.283000000000E+1
5.069794721408E+2	2.700000000000E+1
5.070087976540E+2	2.487000000000E+1
5.070381231672E+2	2.956000000000E+1
5.070674486804E+2	3.090000000000E+1
5.070967741935E+2	2.666000000000E+1
5.071260997067E+2	2.948000000000E+1
5.071554252199E+2	2.562000000000E+1
5.071847507331E+2	2.980000000000E+1
5.072140762463E+2	3.019000000000E+1
5.072434017595E+2	3.062000000000E+1
5.072727272727E+2	3.701000000000E+1
5.073020527859E+2	3.063000000000E+1
5.073313782991E+2	2.904000000000E+1
5.073607038123E+2	2.647000000000E+1
5.073900293255E+2	2.810000000000E+1
5.074193548387E+2	3.199000000000E+1
5.074486803519E+2	2.922000000000E+1
5.074780058651E+2	3.258000000000E+1
5.075073313783E+2	3.032000000000E+1
5.075366568915E+2	3.479000000000E+1
5.075659824047E+2	3.410000000000E+1
5.075953079179E+2	3.270000000000E+1
5.076246334311E+2	3.575000000000E+1
5.076539589443E+2	3.104000000000E+1
5.076832844575E+2	3.277000000000E+1
5.077126099707E+2	3.925000000000E+1
5.077419354839E+2	3.555000000000E+1
5.077712609971E+2	3.608000000000E+1
5.078005865103E+2	3.298000000000E+1
5.078299120235E+2	3.387000000000E+1
5.078592375367E+2	3.633000000000E+1
5.078885630499E+2	3.579000000000E+1
5.079178885630E+2	4.192000000000E+1
5.079472140762E+2	3.643000000000E+1
5.079765395894E+2	3.531000000000E+1
5.080058651026E+2	3.617000000000E+1
5.080351906158E+2	4.036000000000E+1
5.080645161290E+2	4.054000000000E+1
5.080938416422E+2	3.663000000000E+1
5.081231671554E+2	3.676000000000E+1
5.081524926686E+2	3.952000000000E+1
5.081818181818E+2	4.583000000000E+1
5.082111436950E+2	4.162000000000E+1
5.082404692082E+2	4.213000000000E+1
5.082697947214E+2	4.630000000000E+1
5.082991202346E+2	4.546000000000E+1
5.083284457478E+2	4.816000000000E+1
5.083577712610E+2	5.037000000000E+1
5.083870967742E+2	4.801000000000E+1
5.084164222874E+2	4.857000000000E+1
5.084457478006E+2	4.230000000000E+1
5.084750733138E+2	3.888000000000E+1
5.085043988270E+2	4.136000000000E+1
5.085337243402E+2	4.650000000000E+1
5.085630498534E+2	4.780000000000E+1
5.085923753666E+2	4.747000000000E+1
5.086217008798E+2	4.915000000000E+1
5.086510263930E+2	4.578000000000E+1
5.086803519062E+2	4.430000000000E+1
5.087096774194E+2	4.908000000000E+1
5.087390029326E+2	5.018000000000E+1
5.087683284457E+2	5.255000000000E+1
5.087976539589E+2	5.402000000000E+1
5.088269794721E+2	5.659000000000E+1
5.088563049853E+2	5.387000000000E+1
5.088856304985E+2	5.347000000000E+1
5.089149560117E+2	5.772000000000E+1
5.089442815249E+2	5.732000000000E+1
5.089736070381E+2	5.927000000000E+1
5.090029325513E+2	5.875000000000E+1
5.090322580645E+2	5.941000000000E+1
5.090615835777E+2	5.381000000000E+1
5.090909090909E+2	5.800000000000E+1
5.091202346041E+2	6.348000000000E+1
5.091495601173E+2	6.208000000000E+1
5.091788856305E+2	6.218000000000E+1
5.092082111437E+2	6.671000000000E+1
5.092375366569E+2	5.971000000000E+1
5.092668621701E+2	5.495000000000E+1
5.092961876833E+2	5.840000000000E+1
5.093255131965E+2	6.409000000000E+1
5.093548387097E+2	5.901000000000E+1
5.093841642229E+2	5.827000000000E+1
5.094134897361E+2	5.964000000000E+1
5.094428152493E+2	6.322000000000E+1
5.094721407625E+2	6.832000000000E+1
5.095014662757E+2	6.846000000000E+1
5.095307917889E+2	7.025000000000E+1
5.095601173021E+2	6.853000000000E+1
5.095894428152E+2	7.158000000000E+1
5.096187683284E+2	7.580000000000E+1
5.096480938416E+2	7.201000000000E+1
5.096774193548E+2	6.928000000000E+1
5.097067448680E+2	7.844000000000E+1
5.097360703812E+2	7.591000000000E+1
5.097653958944E+2	7.430000000000E+1
5.097947214076E+2	7.604000000000E+1
5.098240469208E+2	7.864000000000E+1
5.098533724340E+2	8.195000000000E+1
5.098826979472E+2	8.041000000000E+1
5.099120234604E+2	7.981000000000E+1
5.099413489736E+2	8.138000000000E+1
5.099706744868E+2	8.370000000000E+1
5.100000000000E+2	8.294000000000E+1
5.100293255132E+2	8.301000000000E+1
5.100586510264E+2	9.017000000000E+1
5.100879765396E+2	9.156000000000E+1
5.101173020528E+2	9.383000000000E+1
5.101466275660E+2	9.376000000000E+1
5.101759530792E+2	9.464000000000E+1
5.102052785924E+2	8.899000000000E+1
5.102346041056E+2	9.217000000000E+1
