Wavelength	Intensity
5.050000000000E+2	1.274000000000E+1
5.050195503421E+2	1.442000000000E+1
5.050391006843E+2	1.179000000000E+1
5.050586510264E+2	1.155000000000E+1
5.050782013685E+2	1.457000000000E+1
5.050977517107E+2	1.111000000000E+1
5.051173020528E+2	1.238000000000E+1
5.051368523949E+2	1.658000000000E+1
5.051564027370E+2	1.055000000000E+1
5.051759530792E+2	1.578000000000E+1
5.051955034213E+2	1.260000000000E+1
5.052150537634E+2	1.258000000000E+1
5.052346041056E+2	1.603000000000E+1
5.052541544477E+2	1.239000000000E+1
5.052737047898E+2	1.738000000000E+1
5.052932551320E+2	1.247000000000E+1
5.053128054741E+2	1.167000000000E+1
5.053323558162E+2	1.449000000000E+1
5.053519061584E+2	1.057000000000E+1
5.053714565005E+2	1.490000000000E+1
5.053910068426E+2	1.202000000000E+1
5.054105571848E+2	1.266000000000E+1
5.054301075269E+2	1.695000000000E+1
5.054496578690E+2	1.395000000000E+1
5.054692082111E+2	1.965000000000E+1
5.054887585533E+2	1.462000000000E+1
5.055083088954E+2	1.282000000000E+1
5.055278592375E+2	1.545000000000E+1
5.055474095797E+2	1.164000000000E+1
5.055669599218E+2	1.583000000000E+1
5.055865102639E+2	1.377000000000E+1
5.056060606061E+2	1.457000000000E+1
5.056256109482E+2	1.909000000000E+1
5.056451612903E+2	1.621000000000E+1
5.056647116325E+2	1.715000000000E+1
5.056842619746E+2	2.135000000000E+1
5.057038123167E+2	1.744000000000E+1
5.057233626588E+2	2.008000000000E+1
5.057429130010E+2	1.582000000000E+1
5.057624633431E+2	1.564000000000E+1
5.057820136852E+2	1.830000000000E+1
5.058015640274E+2	1.486000000000E+1
5.058211143695E+2	2.050000000000E+1
5.058406647116E+2	1.695000000000E+1
5.058602150538E+2	1.622000000000E+1
5.058797653959E+2	1.867000000000E+1
5.058993157380E+2	1.751000000000E+1
5.059188660802E+2	2.364000000000E+1
5.059384164223E+2	1.996000000000E+1
5.059579667644E+2	1.995000000000E+1
5.059775171065E+2	2.328000000000E+1
5.059970674487E+2	2.145000000000E+1
5.060166177908E+2	2.693000000000E+1
5.060361681329E+2	2.257000000000E+1
5.060557184751E+2	2.116000000000E+1
5.060752688172E+2	2.344000000000E+1
5.060948191593E+2	2.048000000000E+1
5.061143695015E+2	2.098000000000E+1
5.061339198436E+2	2.432000000000E+1
5.061534701857E+2	2.339000000000E+1
5.061730205279E+2	2.868000000000E+1
5.061925708700E+2	2.620000000000E+1
5.062121212121E+2	2.646000000000E+1
5.062316715543E+2	2.895000000000E+1
5.062512218964E+2	2.512000000000E+1
5.062707722385E+2	2.815000000000E+1
5.062903225806E+2	2.555000000000E+1
5.063098729228E+2	2.722000000000E+1
5.063294232649E+2	3.214000000000E+1
5.063489736070E+2	2.932000000000E+1
5.063685239492E+2	3.306000000000E+1
5.063880742913E+2	3.188000000000E+1
5.064076246334E+2	3.360000000000E+1
5.064271749756E+2	3.892000000000E+1
5.064467253177E+2	3.730000000000E+1
5.064662756598E+2	3.948000000000E+1
5.064858260020E+2	3.774000000000E+1
5.065053763441E+2	3.772000000000E+1
5.065249266862E+2	3.929000000000E+1
5.065444770283E+2	3.766000000000E+1
5.065640273705E+2	3.813000000000E+1
5.065835777126E+2	4.055000000000E+1
5.066031280547E+2	3.887000000000E+1
5.066226783969E+2	4.115000000000E+1
5.066422287390E+2	4.201000000000E+1
5.066617790811E+2	4.483000000000E+1
5.066813294233E+2	4.873000000000E+1
5.067008797654E+2	4.950000000000E+1
5.067204301075E+2	5.206000000000E+1
5.067399804497E+2	5.183000000000E+1
5.067595307918E+2	5.294000000000E+1
5.067790811339E+2	5.485000000000E+1
5.067986314761E+2	5.548000000000E+1
5.068181818182E+2	5.739000000000E+1
5.068377321603E+2	5.724000000000E+1
5.068572825024E+2	5.752000000000E+1
5.068768328446E+2	5.868000000000E+1
5.068963831867E+2	5.626000000000E+1
5.069159335288E+2	5.519000000000E+1
5.069354838710E+2	5.965000000000E+1
5.069550342131E+2	6.474000000000E+1
5.069745845552E+2	7.018000000000E+1
5.069941348974E+2	7.079000000000E+1
5.070136852395E+2	7.175000000000E+1
5.070332355816E+2	7.346000000000E+1
5.070527859238E+2	7.432000000000E+1
5.070723362659E+2	7.651000000000E+1
5.070918866080E+2	7.759000000000E+1
5.071114369501E+2	7.920000000000E+1
5.071309872923E+2	8.180000000000E+1
5.071505376344E+2	8.220000000000E+1
5.071700879765E+2	8.404000000000E+1
5.071896383187E+2	8.474000000000E+1
5.072091886608E+2	8.609000000000E+1
5.072287390029E+2	8.777000000000E+1
5.072482893451E+2	9.103000000000E+1
5.072678396872E+2	9.513000000000E+1
5.072873900293E+2	9.390000000000E+1
5.073069403715E+2	9.320000000000E+1
5.073264907136E+2	9.293000000000E+1
5.073460410557E+2	9.519000000000E+1
5.073655913978E+2	9.798000000000E+1
5.073851417400E+2	9.945000000000E+1
5.074046920821E+2	1.012600000000E+2
5.074242424242E+2	1.034200000000E+2
5.074437927664E+2	1.057500000000E+2
5.074633431085E+2	1.085900000000E+2
5.074828934506E+2	1.097000000000E+2
5.075024437928E+2	1.111200000000E+2
5.075219941349E+2	1.129200000000E+2
