Wavelength	Intensity
1.008000000000E+3	2.000000000000E+0
1.008046920821E+3	3.000000000000E+0
1.008093841642E+3	4.000000000000E+0
1.008140762463E+3	0.000000000000E+0
1.008187683284E+3	2.000000000000E+0
1.008234604106E+3	8.000000000000E+0
1.008281524927E+3	7.000000000000E+0
1.008328445748E+3	0.000000000000E+0
1.008375366569E+3	4.000000000000E+0
1.008422287390E+3	4.000000000000E+0
1.008469208211E+3	1.000000000000E+1
1.008516129032E+3	4.000000000000E+0
1.008563049853E+3	0.000000000000E+0
1.008609970674E+3	0.000000000000E+0
1.008656891496E+3	1.000000000000E+0
1.008703812317E+3	7.000000000000E+0
1.008750733138E+3	2.000000000000E+0
1.008797653959E+3	2.000000000000E+0
1.008844574780E+3	1.000000000000E+1
1.008891495601E+3	9.000000000000E+0
1.008938416422E+3	6.000000000000E+0
1.008985337243E+3	0.000000000000E+0
1.009032258065E+3	1.000000000000E+0
1.009079178886E+3	0.000000000000E+0
1.009126099707E+3	7.000000000000E+0
1.009173020528E+3	0.000000000000E+0
1.009219941349E+3	4.000000000000E+0
1.009266862170E+3	3.000000000000E+0
1.009313782991E+3	7.000000000000E+0
1.009360703812E+3	4.000000000000E+0
1.009407624633E+3	5.000000000000E+0
1.009454545455E+3	4.000000000000E+0
1.009501466276E+3	1.000000000000E+0
1.009548387097E+3	3.000000000000E+0
1.009595307918E+3	0.000000000000E+0
1.009642228739E+3	5.000000000000E+0
1.009689149560E+3	0.000000000000E+0
1.009736070381E+3	0.000000000000E+0
1.009782991202E+3	6.000000000000E+0
1.009829912023E+3	1.000000000000E+0
1.009876832845E+3	0.000000000000E+0
1.009923753666E+3	0.000000000000E+0
1.009970674487E+3	6.000000000000E+0
1.010017595308E+3	8.000000000000E+0
1.010064516129E+3	0.000000000000E+0
1.010111436950E+3	3.000000000000E+0
1.010158357771E+3	0.000000000000E+0
1.010205278592E+3	8.000000000000E+0
1.010252199413E+3	0.000000000000E+0
1.010299120235E+3	2.000000000000E+0
1.010346041056E+3	0.000000000000E+0
1.010392961877E+3	0.000000000000E+0
1.010439882698E+3	1.000000000000E+0
1.010486803519E+3	4.000000000000E+0
1.010533724340E+3	5.000000000000E+0
1.010580645161E+3	0.000000000000E+0
1.010627565982E+3	0.000000000000E+0
1.010674486804E+3	0.000000000000E+0
1.010721407625E+3	1.000000000000E+0
1.010768328446E+3	2.000000000000E+0
1.010815249267E+3	0.000000000000E+0
1.010862170088E+3	6.000000000000E+0
1.010909090909E+3	1.000000000000E+0
1.010956011730E+3	4.000000000000E+0
1.011002932551E+3	3.000000000000E+0
1.011049853372E+3	5.000000000000E+0
1.011096774194E+3	0.000000000000E+0
1.011143695015E+3	4.000000000000E+0
1.011190615836E+3	3.000000000000E+0
1.011237536657E+3	0.000000000000E+0
1.011284457478E+3	2.000000000000E+0
1.011331378299E+3	0.000000000000E+0
1.011378299120E+3	3.000000000000E+0
1.011425219941E+3	0.000000000000E+0
1.011472140762E+3	0.000000000000E+0
1.011519061584E+3	5.000000000000E+0
1.011565982405E+3	2.000000000000E+0
1.011612903226E+3	2.000000000000E+0
1.011659824047E+3	0.000000000000E+0
1.011706744868E+3	5.000000000000E+0
1.011753665689E+3	0.000000000000E+0
1.011800586510E+3	8.000000000000E+0
1.011847507331E+3	2.000000000000E+0
1.011894428152E+3	0.000000000000E+0
1.011941348974E+3	2.000000000000E+0
1.011988269795E+3	4.000000000000E+0
1.012035190616E+3	4.000000000000E+0
1.012082111437E+3	0.000000000000E+0
1.012129032258E+3	4.000000000000E+0
1.012175953079E+3	0.000000000000E+0
1.012222873900E+3	5.000000000000E+0
1.012269794721E+3	1.000000000000E+0
1.012316715543E+3	9.000000000000E+0
1.012363636364E+3	6.000000000000E+0
1.012410557185E+3	0.000000000000E+0
1.012457478006E+3	1.000000000000E+0
1.012504398827E+3	0.000000000000E+0
1.012551319648E+3	1.000000000000E+1
1.012598240469E+3	7.000000000000E+0
1.012645161290E+3	8.000000000000E+0
1.012692082111E+3	1.000000000000E+0
1.012739002933E+3	0.000000000000E+0
1.012785923754E+3	1.000000000000E+1
1.012832844575E+3	0.000000000000E+0
1.012879765396E+3	0.000000000000E+0
1.012926686217E+3	0.000000000000E+0
1.012973607038E+3	3.000000000000E+0
1.013020527859E+3	1.000000000000E+1
1.013067448680E+3	4.000000000000E+0
1.013114369501E+3	0.000000000000E+0
1.013161290323E+3	0.000000000000E+0
1.013208211144E+3	3.000000000000E+0
1.013255131965E+3	0.000000000000E+0
1.013302052786E+3	4.000000000000E+0
1.013348973607E+3	5.000000000000E+0
1.013395894428E+3	0.000000000000E+0
1.013442815249E+3	0.000000000000E+0
1.013489736070E+3	5.000000000000E+0
1.013536656891E+3	1.000000000000E+1
1.013583577713E+3	2.000000000000E+0
1.013630498534E+3	4.000000000000E+0
1.013677419355E+3	0.000000000000E+0
1.013724340176E+3	1.100000000000E+1
1.013771260997E+3	3.000000000000E+0
1.013818181818E+3	0.000000000000E+0
1.013865102639E+3	2.000000000000E+0
1.013912023460E+3	1.000000000000E+0
1.013958944282E+3	2.000000000000E+0
1.014005865103E+3	0.000000000000E+0
1.014052785924E+3	3.000000000000E+0
1.014099706745E+3	0.000000000000E+0
1.014146627566E+3	1.000000000000E+0
1.014193548387E+3	0.000000000000E+0
1.014240469208E+3	0.000000000000E+0
1.014287390029E+3	1.000000000000E+1
1.014334310850E+3	0.000000000000E+0
1.014381231672E+3	0.000000000000E+0
1.014428152493E+3	5.000000000000E+0
1.014475073314E+3	0.000000000000E+0
1.014521994135E+3	0.000000000000E+0
1.014568914956E+3	1.000000000000E+0
1.014615835777E+3	0.000000000000E+0
1.014662756598E+3	0.000000000000E+0
1.014709677419E+3	0.000000000000E+0
1.014756598240E+3	0.000000000000E+0
1.014803519062E+3	2.000000000000E+0
1.014850439883E+3	2.000000000000E+0
1.014897360704E+3	0.000000000000E+0
1.014944281525E+3	0.000000000000E+0
1.014991202346E+3	0.000000000000E+0
1.015038123167E+3	1.000000000000E+0
1.015085043988E+3	4.000000000000E+0
1.015131964809E+3	8.000000000000E+0
1.015178885630E+3	4.000000000000E+0
1.015225806452E+3	2.000000000000E+0
1.015272727273E+3	6.000000000000E+0
1.015319648094E+3	2.000000000000E+0
1.015366568915E+3	7.000000000000E+0
1.015413489736E+3	4.000000000000E+0
1.015460410557E+3	1.000000000000E+0
1.015507331378E+3	7.000000000000E+0
1.015554252199E+3	0.000000000000E+0
1.015601173021E+3	1.000000000000E+1
1.015648093842E+3	0.000000000000E+0
1.015695014663E+3	0.000000000000E+0
1.015741935484E+3	0.000000000000E+0
1.015788856305E+3	0.000000000000E+0
1.015835777126E+3	0.000000000000E+0
1.015882697947E+3	2.000000000000E+0
1.015929618768E+3	2.000000000000E+0
1.015976539589E+3	7.000000000000E+0
1.016023460411E+3	0.000000000000E+0
1.016070381232E+3	0.000000000000E+0
1.016117302053E+3	0.000000000000E+0
1.016164222874E+3	3.000000000000E+0
1.016211143695E+3	6.000000000000E+0
1.016258064516E+3	1.100000000000E+1
1.016304985337E+3	1.000000000000E+0
1.016351906158E+3	0.000000000000E+0
1.016398826979E+3	0.000000000000E+0
1.016445747801E+3	9.000000000000E+0
1.016492668622E+3	7.000000000000E+0
1.016539589443E+3	1.000000000000E+0
1.016586510264E+3	0.000000000000E+0
1.016633431085E+3	1.000000000000E+0
1.016680351906E+3	4.000000000000E+0
1.016727272727E+3	2.000000000000E+0
1.016774193548E+3	6.000000000000E+0
1.016821114370E+3	3.000000000000E+0
1.016868035191E+3	0.000000000000E+0
1.016914956012E+3	8.000000000000E+0
1.016961876833E+3	5.000000000000E+0
1.017008797654E+3	5.000000000000E+0
1.017055718475E+3	5.000000000000E+0
1.017102639296E+3	6.000000000000E+0
1.017149560117E+3	0.000000000000E+0
1.017196480938E+3	4.000000000000E+0
1.017243401760E+3	0.000000000000E+0
1.017290322581E+3	7.000000000000E+0
1.017337243402E+3	9.000000000000E+0
1.017384164223E+3	2.000000000000E+0
1.017431085044E+3	1.000000000000E+0
1.017478005865E+3	0.000000000000E+0
1.017524926686E+3	4.000000000000E+0
1.017571847507E+3	0.000000000000E+0
