Wavelength	Intensity
1.008000000000E+3	5.116666666667E+1
1.008046920821E+3	5.143333333333E+1
1.008093841642E+3	5.220000000000E+1
1.008140762463E+3	5.660000000000E+1
1.008187683284E+3	5.613333333333E+1
1.008234604106E+3	5.593333333333E+1
1.008281524927E+3	5.720000000000E+1
1.008328445748E+3	5.986666666667E+1
1.008375366569E+3	5.940000000000E+1
1.008422287390E+3	6.196666666667E+1
1.008469208211E+3	6.283333333333E+1
1.008516129032E+3	6.906666666667E+1
1.008563049853E+3	6.930000000000E+1
1.008609970674E+3	7.270000000000E+1
1.008656891496E+3	7.466666666667E+1
1.008703812317E+3	7.756666666667E+1
1.008750733138E+3	8.163333333333E+1
1.008797653959E+3	8.560000000000E+1
1.008844574780E+3	8.783333333333E+1
1.008891495601E+3	9.513333333333E+1
1.008938416422E+3	9.750000000000E+1
1.008985337243E+3	1.010666666667E+2
1.009032258065E+3	1.058333333333E+2
1.009079178886E+3	1.098666666667E+2
1.009126099707E+3	1.147333333333E+2
1.009173020528E+3	1.218666666667E+2
1.009219941349E+3	1.277000000000E+2
1.009266862170E+3	1.415000000000E+2
1.009313782991E+3	1.489666666667E+2
1.009360703812E+3	1.605000000000E+2
1.009407624633E+3	1.670333333333E+2
1.009454545455E+3	1.767666666667E+2
1.009501466276E+3	1.902000000000E+2
1.009548387097E+3	1.992333333333E+2
1.009595307918E+3	2.128333333333E+2
1.009642228739E+3	2.429333333333E+2
1.009689149560E+3	2.610666666667E+2
1.009736070381E+3	2.800666666667E+2
1.009782991202E+3	2.988000000000E+2
1.009829912023E+3	3.221333333333E+2
1.009876832845E+3	3.463333333333E+2
1.009923753666E+3	3.744000000000E+2
1.009970674487E+3	4.076333333333E+2
1.010017595308E+3	4.740333333333E+2
1.010064516129E+3	5.152666666667E+2
1.010111436950E+3	5.568000000000E+2
1.010158357771E+3	6.054666666667E+2
1.010205278592E+3	6.550666666667E+2
1.010252199413E+3	7.108000000000E+2
1.010299120235E+3	7.722333333333E+2
1.010346041056E+3	8.395666666667E+2
1.010392961877E+3	9.911000000000E+2
1.010439882698E+3	1.071733333333E+3
1.010486803519E+3	1.165266666667E+3
1.010533724340E+3	1.257966666667E+3
1.010580645161E+3	1.365633333333E+3
1.010627565982E+3	1.475500000000E+3
1.010674486804E+3	1.598500000000E+3
1.010721407625E+3	1.717866666667E+3
1.010768328446E+3	1.992000000000E+3
1.010815249267E+3	2.140833333333E+3
1.010862170088E+3	2.293966666667E+3
1.010909090909E+3	2.433600000000E+3
1.010956011730E+3	2.588566666667E+3
1.011002932551E+3	2.731466666667E+3
1.011049853372E+3	2.876800000000E+3
1.011096774194E+3	3.025733333333E+3
1.011143695015E+3	3.334500000000E+3
1.011190615836E+3	3.496333333333E+3
1.011237536657E+3	3.673066666667E+3
1.011284457478E+3	3.844966666667E+3
1.011331378299E+3	4.018433333333E+3
1.011378299120E+3	4.190233333333E+3
1.011425219941E+3	4.362233333333E+3
1.011472140762E+3	4.523033333333E+3
1.011519061584E+3	4.824300000000E+3
1.011565982405E+3	4.961333333333E+3
1.011612903226E+3	5.090033333333E+3
1.011659824047E+3	5.211400000000E+3
1.011706744868E+3	5.328300000000E+3
1.011753665689E+3	5.447533333333E+3
1.011800586510E+3	5.567200000000E+3
1.011847507331E+3	5.818933333333E+3
1.011894428152E+3	5.953933333333E+3
1.011941348974E+3	6.083233333333E+3
1.011988269795E+3	6.210133333333E+3
1.012035190616E+3	6.325833333333E+3
1.012082111437E+3	6.427666666667E+3
1.012129032258E+3	6.514666666667E+3
1.012175953079E+3	6.593133333333E+3
1.012222873900E+3	6.748300000000E+3
1.012269794721E+3	6.835300000000E+3
1.012316715543E+3	6.931033333333E+3
1.012363636364E+3	7.028966666667E+3
1.012410557185E+3	7.130433333333E+3
1.012457478006E+3	7.228100000000E+3
1.012504398827E+3	7.321200000000E+3
1.012551319648E+3	7.403733333333E+3
1.012598240469E+3	7.544433333333E+3
1.012645161290E+3	7.606200000000E+3
1.012692082111E+3	7.663600000000E+3
1.012739002933E+3	7.722433333333E+3
1.012785923754E+3	7.773566666667E+3
1.012832844575E+3	7.821666666667E+3
1.012879765396E+3	7.865666666667E+3
1.012926686217E+3	7.906633333333E+3
1.012973607038E+3	7.991000000000E+3
1.013020527859E+3	8.037566666667E+3
1.013067448680E+3	8.088233333333E+3
1.013114369501E+3	8.137333333333E+3
1.013161290323E+3	8.189966666667E+3
1.013208211144E+3	8.241500000000E+3
1.013255131965E+3	8.290733333333E+3
1.013302052786E+3	8.333366666667E+3
1.013348973607E+3	8.421000000000E+3
1.013395894428E+3	8.460166666667E+3
1.013442815249E+3	8.494166666667E+3
1.013489736070E+3	8.529700000000E+3
