Wavelength	Intensity
5.000000000000E+2	3.266666666667E+0
5.000586510264E+2	3.500000000000E+0
5.001173020528E+2	2.533333333333E+0
5.001759530792E+2	2.066666666667E+0
5.002346041056E+2	3.300000000000E+0
5.002932551320E+2	4.400000000000E+0
5.003519061584E+2	2.800000000000E+0
5.004105571848E+2	3.366666666667E+0
5.004692082111E+2	1.866666666667E+0
5.005278592375E+2	4.166666666667E+0
5.005865102639E+2	3.233333333333E+0
5.006451612903E+2	4.366666666667E+0
5.007038123167E+2	2.700000000000E+0
5.007624633431E+2	2.500000000000E+0
5.008211143695E+2	3.333333333333E+0
5.008797653959E+2	1.566666666667E+0
5.009384164223E+2	4.566666666667E+0
5.009970674487E+2	2.766666666667E+0
5.010557184751E+2	2.800000000000E+0
5.011143695015E+2	2.500000000000E+0
5.011730205279E+2	2.033333333333E+0
5.012316715543E+2	2.866666666667E+0
5.012903225806E+2	4.466666666667E+0
5.013489736070E+2	2.200000000000E+0
5.014076246334E+2	1.966666666667E+0
5.014662756598E+2	1.833333333333E+0
5.015249266862E+2	3.100000000000E+0
5.015835777126E+2	2.133333333333E+0
5.016422287390E+2	4.366666666667E+0
5.017008797654E+2	3.700000000000E+0
5.017595307918E+2	2.500000000000E+0
5.018181818182E+2	2.566666666667E+0
5.018768328446E+2	1.933333333333E+0
5.019354838710E+2	4.633333333333E+0
5.019941348974E+2	3.166666666667E+0
5.020527859238E+2	2.966666666667E+0
5.021114369501E+2	3.033333333333E+0
5.021700879765E+2	2.366666666667E+0
5.022287390029E+2	3.133333333333E+0
5.022873900293E+2	3.766666666667E+0
5.023460410557E+2	2.266666666667E+0
5.024046920821E+2	2.300000000000E+0
5.024633431085E+2	2.233333333333E+0
5.025219941349E+2	2.833333333333E+0
5.025806451613E+2	2.400000000000E+0
5.026392961877E+2	4.133333333333E+0
5.026979472141E+2	3.066666666667E+0
5.027565982405E+2	3.133333333333E+0
5.028152492669E+2	3.200000000000E+0
5.028739002933E+2	2.333333333333E+0
5.029325513196E+2	3.366666666667E+0
5.029912023460E+2	4.633333333333E+0
5.030498533724E+2	1.533333333333E+0
5.031085043988E+2	2.900000000000E+0
5.031671554252E+2	1.800000000000E+0
5.032258064516E+2	4.133333333333E+0
5.032844574780E+2	6.000000000000E+0
5.033431085044E+2	2.966666666667E+0
5.034017595308E+2	2.733333333333E+0
5.034604105572E+2	1.933333333333E+0
5.035190615836E+2	3.100000000000E+0
5.035777126100E+2	2.966666666667E+0
5.036363636364E+2	4.700000000000E+0
5.036950146628E+2	3.433333333333E+0
5.037536656891E+2	2.033333333333E+0
5.038123167155E+2	3.200000000000E+0
5.038709677419E+2	3.166666666667E+0
5.039296187683E+2	2.200000000000E+0
5.039882697947E+2	4.100000000000E+0
5.040469208211E+2	2.466666666667E+0
5.041055718475E+2	2.866666666667E+0
5.041642228739E+2	2.700000000000E+0
5.042228739003E+2	2.800000000000E+0
5.042815249267E+2	5.066666666667E+0
5.043401759531E+2	2.233333333333E+0
5.043988269795E+2	3.166666666667E+0
5.044574780059E+2	1.933333333333E+0
5.045161290323E+2	2.166666666667E+0
5.045747800587E+2	3.366666666667E+0
5.046334310850E+2	5.366666666667E+0
5.046920821114E+2	3.266666666667E+0
5.047507331378E+2	2.100000000000E+0
5.048093841642E+2	3.100000000000E+0
5.048680351906E+2	2.600000000000E+0
5.049266862170E+2	2.866666666667E+0
5.049853372434E+2	3.866666666667E+0
5.050439882698E+2	2.800000000000E+0
5.051026392962E+2	3.466666666667E+0
5.051612903226E+2	2.833333333333E+0
5.052199413490E+2	2.700000000000E+0
5.052785923754E+2	4.333333333333E+0
5.053372434018E+2	2.833333333333E+0
5.053958944282E+2	3.366666666667E+0
5.054545454545E+2	2.666666666667E+0
5.055131964809E+2	2.733333333333E+0
5.055718475073E+2	1.933333333333E+0
5.056304985337E+2	4.833333333333E+0
5.056891495601E+2	3.433333333333E+0
5.057478005865E+2	2.566666666667E+0
5.058064516129E+2	3.233333333333E+0
5.058651026393E+2	3.366666666667E+0
5.059237536657E+2	3.466666666667E+0
5.059824046921E+2	5.466666666667E+0
5.060410557185E+2	3.433333333333E+0
5.060997067449E+2	4.266666666667E+0
5.061583577713E+2	4.000000000000E+0
5.062170087977E+2	4.066666666667E+0
5.062756598240E+2	4.066666666667E+0
5.063343108504E+2	6.266666666667E+0
5.063929618768E+2	3.800000000000E+0
5.064516129032E+2	2.800000000000E+0
5.065102639296E+2	4.666666666667E+0
5.065689149560E+2	4.733333333333E+0
5.066275659824E+2	7.300000000000E+0
5.066862170088E+2	5.100000000000E+0
5.067448680352E+2	6.033333333333E+0
5.068035190616E+2	7.366666666667E+0
5.068621700880E+2	6.300000000000E+0
5.069208211144E+2	6.133333333333E+0
5.069794721408E+2	1.036666666667E+1
5.070381231672E+2	6.533333333333E+0
5.070967741935E+2	7.766666666667E+0
5.071554252199E+2	6.533333333333E+0
5.072140762463E+2	8.366666666667E+0
5.072727272727E+2	8.266666666667E+0
5.073313782991E+2	1.030000000000E+1
5.073900293255E+2	9.733333333333E+0
5.074486803519E+2	9.533333333333E+0
5.075073313783E+2	8.333333333333E+0
5.075659824047E+2	9.033333333333E+0
5.076246334311E+2	1.233333333333E+1
5.076832844575E+2	1.090000000000E+1
5.077419354839E+2	1.063333333333E+1
5.078005865103E+2	1.083333333333E+1
5.078592375367E+2	1.133333333333E+1
5.079178885630E+2	1.150000000000E+1
5.079765395894E+2	1.313333333333E+1
5.080351906158E+2	1.233333333333E+1
5.080938416422E+2	1.210000000000E+1
5.081524926686E+2	1.280000000000E+1
5.082111436950E+2	1.216666666667E+1
5.082697947214E+2	1.396666666667E+1
5.083284457478E+2	1.603333333333E+1
5.083870967742E+2	1.400000000000E+1
5.084457478006E+2	1.350000000000E+1
5.085043988270E+2	1.406666666667E+1
5.085630498534E+2	1.676666666667E+1
5.086217008798E+2	1.870000000000E+1
5.086803519062E+2	1.640000000000E+1
5.087390029326E+2	1.683333333333E+1
5.087976539589E+2	1.693333333333E+1
5.088563049853E+2	1.783333333333E+1
5.089149560117E+2	1.843333333333E+1
5.089736070381E+2	2.146666666667E+1
5.090322580645E+2	1.960000000000E+1
5.090909090909E+2	2.096666666667E+1
5.091495601173E+2	2.110000000000E+1
5.092082111437E+2	2.200000000000E+1
5.092668621701E+2	2.180000000000E+1
5.093255131965E+2	2.346666666667E+1
5.093841642229E+2	2.303333333333E+1
5.094428152493E+2	2.466666666667E+1
5.095014662757E+2	2.466666666667E+1
5.095601173021E+2	2.503333333333E+1
5.096187683284E+2	2.886666666667E+1
5.096774193548E+2	2.660000000000E+1
5.097360703812E+2	2.920000000000E+1
5.097947214076E+2	2.853333333333E+1
5.098533724340E+2	3.046666666667E+1
5.099120234604E+2	3.036666666667E+1
5.099706744868E+2	3.520000000000E+1
5.100293255132E+2	3.500000000000E+1
5.100879765396E+2	3.403333333333E+1
5.101466275660E+2	3.563333333333E+1
5.102052785924E+2	3.660000000000E+1
5.102639296188E+2	3.840000000000E+1
5.103225806452E+2	4.120000000000E+1
5.103812316716E+2	4.130000000000E+1
5.104398826979E+2	4.316666666667E+1
5.104985337243E+2	4.413333333333E+1
5.105571847507E+2	4.483333333333E+1
5.106158357771E+2	4.880000000000E+1
5.106744868035E+2	4.806666666667E+1
5.107331378299E+2	4.836666666667E+1
5.107917888563E+2	5.003333333333E+1
5.108504398827E+2	5.130000000000E+1
5.109090909091E+2	5.130000000000E+1
5.109677419355E+2	5.743333333333E+1
5.110263929619E+2	5.586666666667E+1
5.110850439883E+2	5.680000000000E+1
5.111436950147E+2	5.730000000000E+1
5.112023460411E+2	5.920000000000E+1
5.112609970674E+2	6.180000000000E+1
5.113196480938E+2	6.100000000000E+1
5.113782991202E+2	6.183333333333E+1
5.114369501466E+2	6.170000000000E+1
5.114956011730E+2	6.156666666667E+1
5.115542521994E+2	6.450000000000E+1
5.116129032258E+2	6.466666666667E+1
5.116715542522E+2	6.360000000000E+1
5.117302052786E+2	6.160000000000E+1
5.117888563050E+2	6.210000000000E+1
5.118475073314E+2	6.183333333333E+1
5.119061583578E+2	6.156666666667E+1
5.119648093842E+2	6.066666666667E+1
5.120234604106E+2	5.713333333333E+1
5.120821114370E+2	5.550000000000E+1
5.121407624633E+2	5.440000000000E+1
5.121994134897E+2	5.326666666667E+1
5.122580645161E+2	5.243333333333E+1
5.123167155425E+2	4.660000000000E+1
5.123753665689E+2	4.303333333333E+1
5.124340175953E+2	4.193333333333E+1
5.124926686217E+2	3.913333333333E+1
5.125513196481E+2	3.643333333333E+1
5.126099706745E+2	3.410000000000E+1
5.126686217009E+2	2.720000000000E+1
5.127272727273E+2	2.536666666667E+1
5.127859237537E+2	2.290000000000E+1
5.128445747801E+2	2.003333333333E+1
5.129032258065E+2	1.750000000000E+1
5.129618768328E+2	1.720000000000E+1
5.130205278592E+2	1.076666666667E+1
5.130791788856E+2	9.833333333333E+0
5.131378299120E+2	8.933333333333E+0
5.131964809384E+2	6.866666666667E+0
5.132551319648E+2	6.800000000000E+0
5.133137829912E+2	4.633333333333E+0
5.133724340176E+2	3.866666666667E+0
5.134310850440E+2	3.966666666667E+0
5.134897360704E+2	3.966666666667E+0
5.135483870968E+2	5.333333333333E+0
5.136070381232E+2	8.966666666667E+0
5.136656891496E+2	8.033333333333E+0
5.137243401760E+2	1.160000000000E+1
5.137829912023E+2	1.266666666667E+1
5.138416422287E+2	1.560000000000E+1
5.139002932551E+2	1.640000000000E+1
5.139589442815E+2	2.253333333333E+1
5.140175953079E+2	2.336666666667E+1
5.140762463343E+2	2.526666666667E+1
5.141348973607E+2	2.616666666667E+1
5.141935483871E+2	2.806666666667E+1
5.142521994135E+2	3.326666666667E+1
5.143108504399E+2	3.323333333333E+1
5.143695014663E+2	3.286666666667E+1
5.144281524927E+2	3.426666666667E+1
5.144868035191E+2	3.533333333333E+1
5.145454545455E+2	3.383333333333E+1
5.146041055718E+2	3.696666666667E+1
5.146627565982E+2	3.260000000000E+1
5.147214076246E+2	3.300000000000E+1
5.147800586510E+2	3.096666666667E+1
5.148387096774E+2	2.896666666667E+1
5.148973607038E+2	2.923333333333E+1
5.149560117302E+2	2.216666666667E+1
5.150146627566E+2	2.233333333333E+1
5.150733137830E+2	2.000000000000E+1
5.151319648094E+2	1.830000000000E+1
5.151906158358E+2	1.570000000000E+1
5.152492668622E+2	1.580000000000E+1
5.153079178886E+2	1.066666666667E+1
5.153665689150E+2	8.100000000000E+0
5.154252199413E+2	9.000000000000E+0
5.154838709677E+2	6.233333333333E+0
