Wavelength	Intensity
5.000000000000E+2	2.966666666667E+0
5.000391006843E+2	3.300000000000E+0
5.000782013685E+2	2.566666666667E+0
5.001173020528E+2	2.933333333333E+0
5.001564027370E+2	4.600000000000E+0
5.001955034213E+2	2.966666666667E+0
5.002346041056E+2	2.300000000000E+0
5.002737047898E+2	2.800000000000E+0
5.003128054741E+2	2.300000000000E+0
5.003519061584E+2	2.600000000000E+0
5.003910068426E+2	4.766666666667E+0
5.004301075269E+2	3.300000000000E+0
5.004692082111E+2	2.933333333333E+0
5.005083088954E+2	3.166666666667E+0
5.005474095797E+2	3.100000000000E+0
5.005865102639E+2	3.666666666667E+0
5.006256109482E+2	3.500000000000E+0
5.006647116325E+2	4.233333333333E+0
5.007038123167E+2	2.600000000000E+0
5.007429130010E+2	3.133333333333E+0
5.007820136852E+2	2.466666666667E+0
5.008211143695E+2	3.200000000000E+0
5.008602150538E+2	3.200000000000E+0
5.008993157380E+2	3.500000000000E+0
5.009384164223E+2	3.000000000000E+0
5.009775171065E+2	2.433333333333E+0
5.010166177908E+2	3.166666666667E+0
5.010557184751E+2	2.966666666667E+0
5.010948191593E+2	3.133333333333E+0
5.011339198436E+2	1.866666666667E+0
5.011730205279E+2	2.333333333333E+0
5.012121212121E+2	3.433333333333E+0
5.012512218964E+2	3.066666666667E+0
5.012903225806E+2	3.833333333333E+0
5.013294232649E+2	2.666666666667E+0
5.013685239492E+2	2.533333333333E+0
5.014076246334E+2	2.966666666667E+0
5.014467253177E+2	3.333333333333E+0
5.014858260020E+2	2.800000000000E+0
5.015249266862E+2	2.266666666667E+0
5.015640273705E+2	2.600000000000E+0
5.016031280547E+2	3.400000000000E+0
5.016422287390E+2	2.800000000000E+0
5.016813294233E+2	2.366666666667E+0
5.017204301075E+2	2.966666666667E+0
5.017595307918E+2	2.533333333333E+0
5.017986314761E+2	2.866666666667E+0
5.018377321603E+2	2.066666666667E+0
5.018768328446E+2	1.900000000000E+0
5.019159335288E+2	2.600000000000E+0
5.019550342131E+2	4.466666666667E+0
5.019941348974E+2	2.766666666667E+0
5.020332355816E+2	2.800000000000E+0
5.020723362659E+2	2.100000000000E+0
5.021114369501E+2	2.433333333333E+0
5.021505376344E+2	2.333333333333E+0
5.021896383187E+2	4.466666666667E+0
5.022287390029E+2	2.800000000000E+0
5.022678396872E+2	2.500000000000E+0
5.023069403715E+2	3.633333333333E+0
5.023460410557E+2	3.100000000000E+0
5.023851417400E+2	2.933333333333E+0
5.024242424242E+2	2.433333333333E+0
5.024633431085E+2	3.266666666667E+0
5.025024437928E+2	3.766666666667E+0
5.025415444770E+2	3.466666666667E+0
5.025806451613E+2	2.766666666667E+0
5.026197458456E+2	2.800000000000E+0
5.026588465298E+2	1.933333333333E+0
5.026979472141E+2	3.366666666667E+0
5.027370478983E+2	3.000000000000E+0
5.027761485826E+2	2.000000000000E+0
5.028152492669E+2	2.266666666667E+0
5.028543499511E+2	3.066666666667E+0
5.028934506354E+2	2.733333333333E+0
5.029325513196E+2	3.033333333333E+0
5.029716520039E+2	2.500000000000E+0
5.030107526882E+2	3.100000000000E+0
5.030498533724E+2	1.833333333333E+0
5.030889540567E+2	2.733333333333E+0
5.031280547410E+2	2.900000000000E+0
5.031671554252E+2	4.133333333333E+0
5.032062561095E+2	3.433333333333E+0
5.032453567937E+2	3.633333333333E+0
5.032844574780E+2	2.800000000000E+0
5.033235581623E+2	2.866666666667E+0
5.033626588465E+2	3.766666666667E+0
5.034017595308E+2	2.966666666667E+0
5.034408602151E+2	2.466666666667E+0
5.034799608993E+2	2.466666666667E+0
5.035190615836E+2	1.433333333333E+0
5.035581622678E+2	1.766666666667E+0
5.035972629521E+2	3.033333333333E+0
5.036363636364E+2	3.133333333333E+0
5.036754643206E+2	2.466666666667E+0
5.037145650049E+2	3.066666666667E+0
5.037536656891E+2	2.900000000000E+0
5.037927663734E+2	2.800000000000E+0
5.038318670577E+2	2.833333333333E+0
5.038709677419E+2	2.500000000000E+0
5.039100684262E+2	3.200000000000E+0
5.039491691105E+2	2.000000000000E+0
5.039882697947E+2	3.100000000000E+0
5.040273704790E+2	2.300000000000E+0
5.040664711632E+2	2.500000000000E+0
5.041055718475E+2	3.166666666667E+0
5.041446725318E+2	3.233333333333E+0
5.041837732160E+2	2.466666666667E+0
5.042228739003E+2	2.366666666667E+0
5.042619745846E+2	3.733333333333E+0
5.043010752688E+2	2.900000000000E+0
5.043401759531E+2	3.333333333333E+0
5.043792766373E+2	3.266666666667E+0
5.044183773216E+2	2.400000000000E+0
5.044574780059E+2	2.800000000000E+0
5.044965786901E+2	2.533333333333E+0
5.045356793744E+2	3.533333333333E+0
5.045747800587E+2	3.300000000000E+0
5.046138807429E+2	4.166666666667E+0
5.046529814272E+2	3.066666666667E+0
5.046920821114E+2	2.833333333333E+0
5.047311827957E+2	3.600000000000E+0
5.047702834800E+2	3.233333333333E+0
5.048093841642E+2	3.966666666667E+0
5.048484848485E+2	3.233333333333E+0
5.048875855327E+2	3.933333333333E+0
5.049266862170E+2	3.333333333333E+0
5.049657869013E+2	2.200000000000E+0
5.050048875855E+2	2.300000000000E+0
5.050439882698E+2	3.000000000000E+0
5.050830889541E+2	2.766666666667E+0
5.051221896383E+2	2.400000000000E+0
5.051612903226E+2	3.600000000000E+0
5.052003910068E+2	4.200000000000E+0
5.052394916911E+2	3.833333333333E+0
5.052785923754E+2	2.666666666667E+0
5.053176930596E+2	2.200000000000E+0
5.053567937439E+2	2.466666666667E+0
5.053958944282E+2	3.333333333333E+0
5.054349951124E+2	3.733333333333E+0
5.054740957967E+2	2.200000000000E+0
5.055131964809E+2	1.866666666667E+0
5.055522971652E+2	3.500000000000E+0
5.055913978495E+2	3.366666666667E+0
5.056304985337E+2	2.633333333333E+0
5.056695992180E+2	2.800000000000E+0
5.057086999022E+2	4.000000000000E+0
5.057478005865E+2	3.300000000000E+0
5.057869012708E+2	2.200000000000E+0
5.058260019550E+2	2.833333333333E+0
5.058651026393E+2	2.400000000000E+0
