Wavelength	Intensity
1.000000000000E+3	2.800000000000E+1
1.000097751711E+3	5.800000000000E+1
1.000195503421E+3	6.800000000000E+1
1.000293255132E+3	1.040000000000E+2
1.000391006843E+3	9.600000000000E+1
1.000488758553E+3	1.100000000000E+2
1.000586510264E+3	6.100000000000E+1
1.000684261975E+3	6.800000000000E+1
1.000782013685E+3	4.000000000000E+1
1.000879765396E+3	3.200000000000E+1
1.000977517107E+3	8.600000000000E+1
1.001075268817E+3	1.000000000000E+2
1.001173020528E+3	7.500000000000E+1
1.001270772239E+3	1.550000000000E+2
1.001368523949E+3	8.000000000000E+1
1.001466275660E+3	1.000000000000E+2
1.001564027370E+3	6.800000000000E+1
1.001661779081E+3	6.000000000000E+1
1.001759530792E+3	1.000000000000E+2
1.001857282502E+3	7.500000000000E+1
1.001955034213E+3	1.320000000000E+2
1.002052785924E+3	4.000000000000E+1
1.002150537634E+3	1.160000000000E+2
1.002248289345E+3	1.240000000000E+2
1.002346041056E+3	6.500000000000E+1
1.002443792766E+3	6.800000000000E+1
1.002541544477E+3	7.100000000000E+1
1.002639296188E+3	1.090000000000E+2
1.002737047898E+3	9.800000000000E+1
1.002834799609E+3	1.070000000000E+2
1.002932551320E+3	8.700000000000E+1
1.003030303030E+3	7.800000000000E+1
1.003128054741E+3	3.900000000000E+1
1.003225806452E+3	4.500000000000E+1
1.003323558162E+3	1.030000000000E+2
1.003421309873E+3	5.600000000000E+1
1.003519061584E+3	8.000000000000E+1
1.003616813294E+3	7.000000000000E+1
1.003714565005E+3	9.100000000000E+1
1.003812316716E+3	8.000000000000E+0
1.003910068426E+3	9.800000000000E+1
1.004007820137E+3	1.120000000000E+2
1.004105571848E+3	1.100000000000E+2
1.004203323558E+3	9.800000000000E+1
1.004301075269E+3	9.200000000000E+1
1.004398826979E+3	8.900000000000E+1
1.004496578690E+3	1.350000000000E+2
1.004594330401E+3	1.100000000000E+2
1.004692082111E+3	1.270000000000E+2
1.004789833822E+3	1.520000000000E+2
1.004887585533E+3	8.600000000000E+1
1.004985337243E+3	1.420000000000E+2
1.005083088954E+3	7.400000000000E+1
1.005180840665E+3	4.500000000000E+1
1.005278592375E+3	1.000000000000E+2
1.005376344086E+3	1.040000000000E+2
1.005474095797E+3	9.600000000000E+1
1.005571847507E+3	1.050000000000E+2
1.005669599218E+3	6.200000000000E+1
1.005767350929E+3	9.300000000000E+1
1.005865102639E+3	1.010000000000E+2
1.005962854350E+3	1.060000000000E+2
1.006060606061E+3	8.500000000000E+1
1.006158357771E+3	2.090000000000E+2
1.006256109482E+3	9.700000000000E+1
1.006353861193E+3	1.250000000000E+2
1.006451612903E+3	1.150000000000E+2
1.006549364614E+3	1.380000000000E+2
1.006647116325E+3	1.550000000000E+2
1.006744868035E+3	1.640000000000E+2
1.006842619746E+3	1.290000000000E+2
1.006940371457E+3	1.600000000000E+2
1.007038123167E+3	1.300000000000E+2
1.007135874878E+3	1.170000000000E+2
1.007233626588E+3	1.150000000000E+2
1.007331378299E+3	1.880000000000E+2
1.007429130010E+3	1.450000000000E+2
1.007526881720E+3	1.740000000000E+2
1.007624633431E+3	1.900000000000E+2
1.007722385142E+3	1.920000000000E+2
1.007820136852E+3	2.140000000000E+2
1.007917888563E+3	2.580000000000E+2
1.008015640274E+3	2.640000000000E+2
1.008113391984E+3	3.190000000000E+2
1.008211143695E+3	2.020000000000E+2
1.008308895406E+3	3.130000000000E+2
1.008406647116E+3	3.270000000000E+2
1.008504398827E+3	3.440000000000E+2
1.008602150538E+3	3.570000000000E+2
1.008699902248E+3	3.870000000000E+2
1.008797653959E+3	4.320000000000E+2
1.008895405670E+3	4.730000000000E+2
1.008993157380E+3	5.050000000000E+2
1.009090909091E+3	6.110000000000E+2
1.009188660802E+3	6.190000000000E+2
1.009286412512E+3	7.690000000000E+2
1.009384164223E+3	8.740000000000E+2
1.009481915934E+3	9.600000000000E+2
1.009579667644E+3	1.209000000000E+3
1.009677419355E+3	1.329000000000E+3
1.009775171065E+3	1.604000000000E+3
1.009872922776E+3	2.019000000000E+3
1.009970674487E+3	2.342000000000E+3
1.010068426197E+3	2.740000000000E+3
1.010166177908E+3	3.448000000000E+3
1.010263929619E+3	4.158000000000E+3
1.010361681329E+3	4.984000000000E+3
1.010459433040E+3	6.365000000000E+3
1.010557184751E+3	7.730000000000E+3
1.010654936461E+3	9.724000000000E+3
1.010752688172E+3	1.120500000000E+4
1.010850439883E+3	1.305800000000E+4
1.010948191593E+3	1.567600000000E+4
1.011045943304E+3	1.752600000000E+4
1.011143695015E+3	1.952900000000E+4
1.011241446725E+3	2.305100000000E+4
1.011339198436E+3	2.533900000000E+4
1.011436950147E+3	2.763400000000E+4
1.011534701857E+3	3.063800000000E+4
1.011632453568E+3	3.230100000000E+4
1.011730205279E+3	3.344300000000E+4
1.011827956989E+3	3.566600000000E+4
1.011925708700E+3	3.785400000000E+4
1.012023460411E+3	3.969000000000E+4
1.012121212121E+3	4.168400000000E+4
1.012218963832E+3	4.263000000000E+4
1.012316715543E+3	4.389500000000E+4
1.012414467253E+3	4.611200000000E+4
1.012512218964E+3	4.731700000000E+4
1.012609970674E+3	4.870700000000E+4
1.012707722385E+3	4.943500000000E+4
1.012805474096E+3	5.004700000000E+4
1.012903225806E+3	5.066100000000E+4
1.013000977517E+3	5.135700000000E+4
1.013098729228E+3	5.241700000000E+4
1.013196480938E+3	5.394100000000E+4
1.013294232649E+3	5.444600000000E+4
1.013391984360E+3	5.498900000000E+4
1.013489736070E+3	5.578400000000E+4
1.013587487781E+3	5.576700000000E+4
1.013685239492E+3	5.553200000000E+4
1.013782991202E+3	5.529300000000E+4
1.013880742913E+3	5.593700000000E+4
1.013978494624E+3	5.692100000000E+4
1.014076246334E+3	5.750300000000E+4
1.014173998045E+3	5.745600000000E+4
1.014271749756E+3	5.717900000000E+4
1.014369501466E+3	5.691100000000E+4
1.014467253177E+3	5.655900000000E+4
1.014565004888E+3	5.663400000000E+4
1.014662756598E+3	5.680700000000E+4
1.014760508309E+3	5.677300000000E+4
1.014858260020E+3	5.623900000000E+4
1.014956011730E+3	5.556100000000E+4
1.015053763441E+3	5.556000000000E+4
1.015151515152E+3	5.576800000000E+4
1.015249266862E+3	5.546900000000E+4
1.015347018573E+3	5.502200000000E+4
1.015444770283E+3	5.453800000000E+4
1.015542521994E+3	5.390100000000E+4
1.015640273705E+3	5.322400000000E+4
1.015738025415E+3	5.249500000000E+4
1.015835777126E+3	5.237600000000E+4
1.015933528837E+3	5.224500000000E+4
1.016031280547E+3	5.177100000000E+4
1.016129032258E+3	5.149100000000E+4
1.016226783969E+3	5.105400000000E+4
1.016324535679E+3	5.009100000000E+4
1.016422287390E+3	4.916400000000E+4
1.016520039101E+3	4.860700000000E+4
1.016617790811E+3	4.851300000000E+4
1.016715542522E+3	4.834700000000E+4
1.016813294233E+3	4.777700000000E+4
1.016911045943E+3	4.672400000000E+4
1.017008797654E+3	4.618900000000E+4
1.017106549365E+3	4.582900000000E+4
1.017204301075E+3	4.563600000000E+4
1.017302052786E+3	4.523200000000E+4
1.017399804497E+3	4.451200000000E+4
1.017497556207E+3	4.371500000000E+4
1.017595307918E+3	4.292700000000E+4
1.017693059629E+3	4.220100000000E+4
1.017790811339E+3	4.238000000000E+4
1.017888563050E+3	4.224300000000E+4
1.017986314761E+3	4.174500000000E+4
1.018084066471E+3	4.134000000000E+4
1.018181818182E+3	4.098300000000E+4
1.018279569892E+3	4.023200000000E+4
1.018377321603E+3	3.953200000000E+4
1.018475073314E+3	3.880700000000E+4
1.018572825024E+3	3.874500000000E+4
1.018670576735E+3	3.868800000000E+4
1.018768328446E+3	3.840000000000E+4
1.018866080156E+3	3.822900000000E+4
1.018963831867E+3	3.784800000000E+4
1.019061583578E+3	3.720100000000E+4
1.019159335288E+3	3.668900000000E+4
1.019257086999E+3	3.639500000000E+4
1.019354838710E+3	3.617100000000E+4
1.019452590420E+3	3.598200000000E+4
1.019550342131E+3	3.526400000000E+4
1.019648093842E+3	3.502300000000E+4
1.019745845552E+3	3.503200000000E+4
1.019843597263E+3	3.501500000000E+4
1.019941348974E+3	3.471300000000E+4
