Wavelength	Intensity
1.000000000000E+3	9.000000000000E+0
1.000097751711E+3	5.000000000000E+0
1.000195503421E+3	9.000000000000E+0
1.000293255132E+3	2.000000000000E+1
1.000391006843E+3	7.100000000000E+1
1.000488758553E+3	0.000000000000E+0
1.000586510264E+3	2.100000000000E+1
1.000684261975E+3	2.800000000000E+1
1.000782013685E+3	1.200000000000E+1
1.000879765396E+3	1.600000000000E+1
1.000977517107E+3	2.400000000000E+1
1.001075268817E+3	4.600000000000E+1
1.001173020528E+3	7.400000000000E+1
1.001270772239E+3	4.000000000000E+1
1.001368523949E+3	2.000000000000E+0
1.001466275660E+3	1.400000000000E+1
1.001564027370E+3	5.900000000000E+1
1.001661779081E+3	1.600000000000E+1
1.001759530792E+3	4.700000000000E+1
1.001857282502E+3	4.600000000000E+1
1.001955034213E+3	6.200000000000E+1
1.002052785924E+3	1.000000000000E+1
1.002150537634E+3	4.900000000000E+1
1.002248289345E+3	2.000000000000E+1
1.002346041056E+3	2.400000000000E+1
1.002443792766E+3	2.500000000000E+1
1.002541544477E+3	5.400000000000E+1
1.002639296188E+3	4.800000000000E+1
1.002737047898E+3	7.600000000000E+1
1.002834799609E+3	0.000000000000E+0
1.002932551320E+3	3.000000000000E+1
1.003030303030E+3	3.700000000000E+1
1.003128054741E+3	0.000000000000E+0
1.003225806452E+3	3.700000000000E+1
1.003323558162E+3	0.000000000000E+0
1.003421309873E+3	4.800000000000E+1
1.003519061584E+3	4.700000000000E+1
1.003616813294E+3	6.000000000000E+1
1.003714565005E+3	4.400000000000E+1
1.003812316716E+3	1.000000000000E+0
1.003910068426E+3	5.400000000000E+1
1.004007820137E+3	2.800000000000E+1
1.004105571848E+3	2.500000000000E+1
1.004203323558E+3	4.600000000000E+1
1.004301075269E+3	5.100000000000E+1
1.004398826979E+3	5.200000000000E+1
1.004496578690E+3	4.100000000000E+1
1.004594330401E+3	0.000000000000E+0
1.004692082111E+3	1.200000000000E+1
1.004789833822E+3	1.200000000000E+1
