Wavelength	Intensity
5.000000000000E+2	4.553333333333E+1
5.005865102639E+2	5.746666666667E+1
5.011730205279E+2	5.276666666667E+1
5.017595307918E+2	4.776666666667E+1
5.023460410557E+2	5.673333333333E+1
5.029325513196E+2	6.076666666667E+1
5.035190615836E+2	6.520000000000E+1
5.041055718475E+2	5.423333333333E+1
5.046920821114E+2	6.500000000000E+1
5.052785923754E+2	5.873333333333E+1
5.058651026393E+2	7.366666666667E+1
5.064516129032E+2	1.046666666667E+2
5.070381231672E+2	1.560000000000E+2
5.076246334311E+2	2.145000000000E+2
5.082111436950E+2	2.738333333333E+2
5.087976539589E+2	3.512333333333E+2
5.093841642229E+2	4.777000000000E+2
5.099706744868E+2	6.620000000000E+2
5.105571847507E+2	9.048666666667E+2
5.111436950147E+2	1.063733333333E+3
5.117302052786E+2	1.082500000000E+3
5.123167155425E+2	9.175333333333E+2
5.129032258065E+2	4.199000000000E+2
5.134897360704E+2	2.256000000000E+2
5.140762463343E+2	5.113000000000E+2
5.146627565982E+2	5.390000000000E+2
5.152492668622E+2	2.767333333333E+2
5.158357771261E+2	6.880000000000E+1
5.164222873900E+2	8.050000000000E+1
5.170087976540E+2	1.000000000000E+2
5.175953079179E+2	1.601333333333E+2
5.181818181818E+2	1.608000000000E+2
5.187683284457E+2	1.348333333333E+2
5.193548387097E+2	8.890000000000E+1
5.199413489736E+2	9.393333333333E+1
5.205278592375E+2	1.750666666667E+2
5.211143695015E+2	2.423666666667E+2
5.217008797654E+2	2.758333333333E+2
5.222873900293E+2	2.543333333333E+2
5.228739002933E+2	2.161666666667E+2
5.234604105572E+2	1.664666666667E+2
5.240469208211E+2	1.297666666667E+2
5.246334310850E+2	9.280000000000E+1
5.252199413490E+2	6.800000000000E+1
5.258064516129E+2	6.600000000000E+1
5.263929618768E+2	6.310000000000E+1
5.269794721408E+2	6.126666666667E+1
5.275659824047E+2	6.073333333333E+1
5.281524926686E+2	6.046666666667E+1
5.287390029326E+2	5.616666666667E+1
5.293255131965E+2	5.676666666667E+1
5.299120234604E+2	5.360000000000E+1
5.304985337243E+2	5.266666666667E+1
5.310850439883E+2	5.980000000000E+1
5.316715542522E+2	5.896666666667E+1
5.322580645161E+2	6.016666666667E+1
5.328445747801E+2	5.936666666667E+1
5.334310850440E+2	5.690000000000E+1
5.340175953079E+2	5.820000000000E+1
5.346041055718E+2	6.360000000000E+1
5.351906158358E+2	5.423333333333E+1
5.357771260997E+2	5.400000000000E+1
5.363636363636E+2	5.180000000000E+1
5.369501466276E+2	6.063333333333E+1
5.375366568915E+2	6.223333333333E+1
5.381231671554E+2	5.690000000000E+1
5.387096774194E+2	6.890000000000E+1
5.392961876833E+2	5.570000000000E+1
5.398826979472E+2	5.943333333333E+1
5.404692082111E+2	5.773333333333E+1
5.410557184751E+2	5.763333333333E+1
5.416422287390E+2	6.296666666667E+1
5.422287390029E+2	5.770000000000E+1
5.428152492669E+2	5.926666666667E+1
5.434017595308E+2	6.030000000000E+1
5.439882697947E+2	6.180000000000E+1
5.445747800587E+2	6.080000000000E+1
5.451612903226E+2	5.573333333333E+1
5.457478005865E+2	5.626666666667E+1
5.463343108504E+2	5.440000000000E+1
5.469208211144E+2	5.546666666667E+1
5.475073313783E+2	5.956666666667E+1
5.480938416422E+2	5.950000000000E+1
5.486803519062E+2	5.646666666667E+1
5.492668621701E+2	6.300000000000E+1
5.498533724340E+2	5.893333333333E+1
5.504398826979E+2	5.703333333333E+1
5.510263929619E+2	5.366666666667E+1
5.516129032258E+2	5.100000000000E+1
5.521994134897E+2	5.223333333333E+1
5.527859237537E+2	5.800000000000E+1
5.533724340176E+2	5.073333333333E+1
5.539589442815E+2	5.753333333333E+1
5.545454545455E+2	6.126666666667E+1
5.551319648094E+2	5.073333333333E+1
5.557184750733E+2	5.300000000000E+1
5.563049853372E+2	5.470000000000E+1
5.568914956012E+2	5.206666666667E+1
5.574780058651E+2	5.743333333333E+1
5.580645161290E+2	6.046666666667E+1
5.586510263930E+2	6.140000000000E+1
5.592375366569E+2	5.796666666667E+1
5.598240469208E+2	6.316666666667E+1
5.604105571848E+2	5.986666666667E+1
5.609970674487E+2	6.093333333333E+1
5.615835777126E+2	5.610000000000E+1
5.621700879765E+2	6.040000000000E+1
5.627565982405E+2	5.390000000000E+1
5.633431085044E+2	5.703333333333E+1
5.639296187683E+2	5.586666666667E+1
5.645161290323E+2	6.016666666667E+1
5.651026392962E+2	6.750000000000E+1
5.656891495601E+2	5.840000000000E+1
5.662756598240E+2	5.566666666667E+1
5.668621700880E+2	5.513333333333E+1
5.674486803519E+2	6.080000000000E+1
5.680351906158E+2	5.876666666667E+1
5.686217008798E+2	5.216666666667E+1
5.692082111437E+2	5.510000000000E+1
5.697947214076E+2	6.146666666667E+1
5.703812316716E+2	6.130000000000E+1
5.709677419355E+2	5.503333333333E+1
5.715542521994E+2	5.930000000000E+1
5.721407624633E+2	5.716666666667E+1
5.727272727273E+2	5.786666666667E+1
5.733137829912E+2	5.893333333333E+1
5.739002932551E+2	5.220000000000E+1
5.744868035191E+2	5.860000000000E+1
5.750733137830E+2	6.120000000000E+1
5.756598240469E+2	5.783333333333E+1
5.762463343109E+2	6.013333333333E+1
5.768328445748E+2	5.816666666667E+1
5.774193548387E+2	5.230000000000E+1
5.780058651026E+2	5.040000000000E+1
5.785923753666E+2	5.606666666667E+1
5.791788856305E+2	5.036666666667E+1
5.797653958944E+2	5.413333333333E+1
5.803519061584E+2	5.260000000000E+1
5.809384164223E+2	6.253333333333E+1
5.815249266862E+2	6.246666666667E+1
5.821114369501E+2	6.026666666667E+1
5.826979472141E+2	5.690000000000E+1
5.832844574780E+2	6.273333333333E+1
5.838709677419E+2	5.240000000000E+1
5.844574780059E+2	5.933333333333E+1
5.850439882698E+2	5.506666666667E+1
5.856304985337E+2	6.496666666667E+1
5.862170087977E+2	6.126666666667E+1
5.868035190616E+2	5.713333333333E+1
5.873900293255E+2	6.050000000000E+1
5.879765395894E+2	6.320000000000E+1
5.885630498534E+2	5.960000000000E+1
5.891495601173E+2	6.050000000000E+1
5.897360703812E+2	6.140000000000E+1
5.903225806452E+2	5.203333333333E+1
5.909090909091E+2	5.753333333333E+1
5.914956011730E+2	6.073333333333E+1
5.920821114370E+2	5.550000000000E+1
5.926686217009E+2	5.550000000000E+1
5.932551319648E+2	5.400000000000E+1
5.938416422287E+2	5.800000000000E+1
5.944281524927E+2	5.370000000000E+1
5.950146627566E+2	6.233333333333E+1
5.956011730205E+2	5.340000000000E+1
5.961876832845E+2	5.353333333333E+1
5.967741935484E+2	5.646666666667E+1
5.973607038123E+2	5.080000000000E+1
5.979472140762E+2	5.753333333333E+1
5.985337243402E+2	6.026666666667E+1
5.991202346041E+2	6.300000000000E+1
5.997067448680E+2	5.303333333333E+1
6.002932551320E+2	5.476666666667E+1
6.008797653959E+2	6.363333333333E+1
6.014662756598E+2	5.756666666667E+1
6.020527859238E+2	6.086666666667E+1
6.026392961877E+2	5.263333333333E+1
6.032258064516E+2	5.976666666667E+1
6.038123167155E+2	5.933333333333E+1
6.043988269795E+2	6.146666666667E+1
6.049853372434E+2	6.020000000000E+1
6.055718475073E+2	5.910000000000E+1
6.061583577713E+2	5.376666666667E+1
6.067448680352E+2	5.140000000000E+1
6.073313782991E+2	5.840000000000E+1
6.079178885630E+2	6.433333333333E+1
6.085043988270E+2	5.786666666667E+1
6.090909090909E+2	5.896666666667E+1
6.096774193548E+2	6.170000000000E+1
6.102639296188E+2	6.126666666667E+1
6.108504398827E+2	6.053333333333E+1
6.114369501466E+2	5.896666666667E+1
6.120234604106E+2	5.296666666667E+1
6.126099706745E+2	5.570000000000E+1
6.131964809384E+2	5.426666666667E+1
6.137829912023E+2	6.280000000000E+1
6.143695014663E+2	6.130000000000E+1
6.149560117302E+2	6.276666666667E+1
6.155425219941E+2	6.490000000000E+1
6.161290322581E+2	6.360000000000E+1
6.167155425220E+2	6.520000000000E+1
6.173020527859E+2	6.026666666667E+1
6.178885630499E+2	5.553333333333E+1
6.184750733138E+2	6.113333333333E+1
6.190615835777E+2	6.183333333333E+1
6.196480938416E+2	6.723333333333E+1
6.202346041056E+2	5.806666666667E+1
6.208211143695E+2	5.616666666667E+1
6.214076246334E+2	5.770000000000E+1
6.219941348974E+2	5.440000000000E+1
6.225806451613E+2	5.526666666667E+1
6.231671554252E+2	5.100000000000E+1
6.237536656891E+2	6.163333333333E+1
6.243401759531E+2	6.076666666667E+1
6.249266862170E+2	6.640000000000E+1
6.255131964809E+2	6.033333333333E+1
6.260997067449E+2	5.573333333333E+1
6.266862170088E+2	6.030000000000E+1
6.272727272727E+2	6.013333333333E+1
6.278592375367E+2	5.663333333333E+1
6.284457478006E+2	5.433333333333E+1
6.290322580645E+2	5.763333333333E+1
6.296187683284E+2	6.040000000000E+1
6.302052785924E+2	5.913333333333E+1
6.307917888563E+2	6.313333333333E+1
6.313782991202E+2	6.503333333333E+1
6.319648093842E+2	5.836666666667E+1
6.325513196481E+2	6.370000000000E+1
6.331378299120E+2	5.150000000000E+1
6.337243401760E+2	5.780000000000E+1
6.343108504399E+2	6.323333333333E+1
6.348973607038E+2	6.326666666667E+1
6.354838709677E+2	6.150000000000E+1
6.360703812317E+2	6.533333333333E+1
6.366568914956E+2	6.136666666667E+1
6.372434017595E+2	5.756666666667E+1
