Wavelength	Intensity
5.050000000000E+2	1.709000000000E+1
5.050195503421E+2	1.418000000000E+1
5.050391006843E+2	1.021000000000E+1
5.050586510264E+2	9.620000000000E+0
5.050782013685E+2	1.166000000000E+1
5.050977517107E+2	9.870000000000E+0
5.051173020528E+2	1.095000000000E+1
5.051368523949E+2	1.602000000000E+1
5.051564027370E+2	1.283000000000E+1
5.051759530792E+2	1.896000000000E+1
5.051955034213E+2	1.609000000000E+1
5.052150537634E+2	1.611000000000E+1
5.052346041056E+2	2.025000000000E+1
5.052541544477E+2	1.509000000000E+1
5.052737047898E+2	1.753000000000E+1
5.052932551320E+2	1.351000000000E+1
5.053128054741E+2	1.308000000000E+1
5.053323558162E+2	1.592000000000E+1
5.053519061584E+2	1.248000000000E+1
5.053714565005E+2	1.839000000000E+1
5.053910068426E+2	1.538000000000E+1
5.054105571848E+2	1.492000000000E+1
5.054301075269E+2	1.682000000000E+1
5.054496578690E+2	1.273000000000E+1
5.054692082111E+2	1.544000000000E+1
5.054887585533E+2	1.118000000000E+1
5.055083088954E+2	1.107000000000E+1
5.055278592375E+2	1.468000000000E+1
5.055474095797E+2	1.101000000000E+1
5.055669599218E+2	1.573000000000E+1
5.055865102639E+2	1.445000000000E+1
5.056060606061E+2	1.638000000000E+1
5.056256109482E+2	2.119000000000E+1
5.056451612903E+2	1.778000000000E+1
5.056647116325E+2	1.780000000000E+1
5.056842619746E+2	2.053000000000E+1
5.057038123167E+2	1.434000000000E+1
5.057233626588E+2	1.815000000000E+1
5.057429130010E+2	1.654000000000E+1
5.057624633431E+2	1.844000000000E+1
5.057820136852E+2	2.216000000000E+1
5.058015640274E+2	1.689000000000E+1
5.058211143695E+2	1.919000000000E+1
5.058406647116E+2	1.648000000000E+1
5.058602150538E+2	1.798000000000E+1
5.058797653959E+2	2.315000000000E+1
5.058993157380E+2	1.734000000000E+1
5.059188660802E+2	1.933000000000E+1
5.059384164223E+2	1.739000000000E+1
5.059579667644E+2	1.832000000000E+1
5.059775171065E+2	2.233000000000E+1
5.059970674487E+2	1.971000000000E+1
5.060166177908E+2	2.421000000000E+1
5.060361681329E+2	2.167000000000E+1
5.060557184751E+2	2.306000000000E+1
5.060752688172E+2	2.704000000000E+1
5.060948191593E+2	2.326000000000E+1
5.061143695015E+2	2.372000000000E+1
5.061339198436E+2	2.803000000000E+1
5.061534701857E+2	2.344000000000E+1
