Wavelength	Intensity
5.050000000000E+2	1.699000000000E+1
5.050195503421E+2	1.228000000000E+1
5.050391006843E+2	9.430000000000E+0
5.050586510264E+2	1.071000000000E+1
5.050782013685E+2	1.539000000000E+1
5.050977517107E+2	1.300000000000E+1
5.051173020528E+2	1.299000000000E+1
5.051368523949E+2	1.574000000000E+1
5.051564027370E+2	1.460000000000E+1
5.051759530792E+2	2.093000000000E+1
5.051955034213E+2	1.522000000000E+1
5.052150537634E+2	1.301000000000E+1
5.052346041056E+2	1.508000000000E+1
5.052541544477E+2	1.323000000000E+1
5.052737047898E+2	1.780000000000E+1
5.052932551320E+2	1.382000000000E+1
5.053128054741E+2	1.298000000000E+1
5.053323558162E+2	1.571000000000E+1
5.053519061584E+2	1.119000000000E+1
5.053714565005E+2	1.612000000000E+1
5.053910068426E+2	1.146000000000E+1
5.054105571848E+2	1.065000000000E+1
5.054301075269E+2	1.440000000000E+1
5.054496578690E+2	1.186000000000E+1
5.054692082111E+2	1.927000000000E+1
5.054887585533E+2	1.380000000000E+1
5.055083088954E+2	1.249000000000E+1
5.055278592375E+2	1.521000000000E+1
5.055474095797E+2	1.203000000000E+1
5.055669599218E+2	1.702000000000E+1
5.055865102639E+2	1.198000000000E+1
5.056060606061E+2	1.127000000000E+1
5.056256109482E+2	1.582000000000E+1
5.056451612903E+2	1.396000000000E+1
5.056647116325E+2	1.629000000000E+1
5.056842619746E+2	2.218000000000E+1
5.057038123167E+2	1.779000000000E+1
5.057233626588E+2	2.053000000000E+1
5.057429130010E+2	1.634000000000E+1
5.057624633431E+2	1.515000000000E+1
5.057820136852E+2	1.811000000000E+1
5.058015640274E+2	1.383000000000E+1
5.058211143695E+2	1.816000000000E+1
5.058406647116E+2	1.634000000000E+1
5.058602150538E+2	1.859000000000E+1
5.058797653959E+2	2.339000000000E+1
5.058993157380E+2	2.096000000000E+1
5.059188660802E+2	2.433000000000E+1
5.059384164223E+2	2.195000000000E+1
5.059579667644E+2	2.256000000000E+1
5.059775171065E+2	2.561000000000E+1
5.059970674487E+2	2.211000000000E+1
5.060166177908E+2	2.490000000000E+1
5.060361681329E+2	2.195000000000E+1
5.060557184751E+2	2.134000000000E+1
5.060752688172E+2	2.312000000000E+1
5.060948191593E+2	2.116000000000E+1
5.061143695015E+2	2.191000000000E+1
5.061339198436E+2	2.606000000000E+1
5.061534701857E+2	1.914000000000E+1
5.061730205279E+2	2.076000000000E+1
5.061925708700E+2	1.971000000000E+1
5.062121212121E+2	2.190000000000E+1
5.062316715543E+2	2.754000000000E+1
5.062512218964E+2	2.479000000000E+1
5.062707722385E+2	2.696000000000E+1
5.062903225806E+2	2.499000000000E+1
5.063098729228E+2	2.712000000000E+1
5.063294232649E+2	3.175000000000E+1
5.063489736070E+2	3.197000000000E+1
5.063685239492E+2	3.749000000000E+1
5.063880742913E+2	3.233000000000E+1
5.064076246334E+2	2.970000000000E+1
5.064271749756E+2	2.922000000000E+1
5.064467253177E+2	2.972000000000E+1
5.064662756598E+2	3.566000000000E+1
5.064858260020E+2	3.516000000000E+1
5.065053763441E+2	3.674000000000E+1
5.065249266862E+2	4.035000000000E+1
5.065444770283E+2	3.951000000000E+1
5.065640273705E+2	4.060000000000E+1
5.065835777126E+2	4.332000000000E+1
5.066031280547E+2	4.195000000000E+1
5.066226783969E+2	4.295000000000E+1
5.066422287390E+2	4.161000000000E+1
5.066617790811E+2	4.176000000000E+1
5.066813294233E+2	4.305000000000E+1
5.067008797654E+2	4.272000000000E+1
5.067204301075E+2	4.392000000000E+1
5.067399804497E+2	4.491000000000E+1
5.067595307918E+2	4.695000000000E+1
5.067790811339E+2	4.945000000000E+1
5.067986314761E+2	5.482000000000E+1
5.068181818182E+2	6.165000000000E+1
5.068377321603E+2	5.821000000000E+1
5.068572825024E+2	5.585000000000E+1
5.068768328446E+2	5.442000000000E+1
5.068963831867E+2	5.657000000000E+1
5.069159335288E+2	6.037000000000E+1
5.069354838710E+2	6.157000000000E+1
5.069550342131E+2	6.371000000000E+1
5.069745845552E+2	6.612000000000E+1
5.069941348974E+2	6.870000000000E+1
5.070136852395E+2	7.164000000000E+1
5.070332355816E+2	7.516000000000E+1
5.070527859238E+2	7.295000000000E+1
5.070723362659E+2	7.168000000000E+1
5.070918866080E+2	7.457000000000E+1
5.071114369501E+2	7.791000000000E+1
5.071309872923E+2	8.193000000000E+1
5.071505376344E+2	8.082000000000E+1
5.071700879765E+2	8.061000000000E+1
5.071896383187E+2	7.935000000000E+1
5.072091886608E+2	7.849000000000E+1
5.072287390029E+2	7.793000000000E+1
5.072482893451E+2	8.305000000000E+1
5.072678396872E+2	8.896000000000E+1
5.072873900293E+2	8.838000000000E+1
5.073069403715E+2	8.833000000000E+1
5.073264907136E+2	8.863000000000E+1
5.073460410557E+2	8.892000000000E+1
5.073655913978E+2	8.998000000000E+1
5.073851417400E+2	9.110000000000E+1
5.074046920821E+2	9.299000000000E+1
5.074242424242E+2	9.520000000000E+1
5.074437927664E+2	9.845000000000E+1
5.074633431085E+2	1.022200000000E+2
5.074828934506E+2	1.034300000000E+2
5.075024437928E+2	1.049300000000E+2
5.075219941349E+2	1.067500000000E+2
5.075415444770E+2	1.077400000000E+2
5.075610948192E+2	1.090000000000E+2
5.075806451613E+2	1.106100000000E+2
5.076001955034E+2	1.110000000000E+2
5.076197458456E+2	1.119500000000E+2
5.076392961877E+2	1.144600000000E+2
5.076588465298E+2	1.173500000000E+2
5.076783968719E+2	1.205100000000E+2
5.076979472141E+2	1.222600000000E+2
5.077174975562E+2	1.244500000000E+2
5.077370478983E+2	1.253400000000E+2
5.077565982405E+2	1.266000000000E+2
5.077761485826E+2	1.281900000000E+2
5.077956989247E+2	1.291100000000E+2
5.078152492669E+2	1.305700000000E+2
5.078347996090E+2	1.321300000000E+2
5.078543499511E+2	1.340200000000E+2
5.078739002933E+2	1.361900000000E+2
5.078934506354E+2	1.386400000000E+2
5.079130009775E+2	1.415800000000E+2
5.079325513196E+2	1.415900000000E+2
5.079521016618E+2	1.419900000000E+2
5.079716520039E+2	1.427000000000E+2
5.079912023460E+2	1.413500000000E+2
5.080107526882E+2	1.403100000000E+2
5.080303030303E+2	1.395900000000E+2
5.080498533724E+2	1.419100000000E+2
5.080694037146E+2	1.447600000000E+2
5.080889540567E+2	1.467800000000E+2
5.081085043988E+2	1.491100000000E+2
5.081280547410E+2	1.518000000000E+2
5.081476050831E+2	1.565600000000E+2
5.081671554252E+2	1.618300000000E+2
5.081867057674E+2	1.601900000000E+2
5.082062561095E+2	1.588300000000E+2
5.082258064516E+2	1.578500000000E+2
5.082453567937E+2	1.563500000000E+2
5.082649071359E+2	1.553000000000E+2
5.082844574780E+2	1.591100000000E+2
5.083040078201E+2	1.632700000000E+2
5.083235581623E+2	1.677600000000E+2
5.083431085044E+2	1.699900000000E+2
5.083626588465E+2	1.727900000000E+2
5.083822091887E+2	1.749500000000E+2
5.084017595308E+2	1.774100000000E+2
5.084213098729E+2	1.802100000000E+2
5.084408602151E+2	1.831700000000E+2
5.084604105572E+2	1.864100000000E+2
5.084799608993E+2	1.900200000000E+2
5.084995112414E+2	1.923200000000E+2
5.085190615836E+2	1.952100000000E+2
5.085386119257E+2	1.967800000000E+2
5.085581622678E+2	1.986500000000E+2
5.085777126100E+2	2.009300000000E+2
5.085972629521E+2	2.015300000000E+2
5.086168132942E+2	2.025600000000E+2
5.086363636364E+2	2.067000000000E+2
5.086559139785E+2	2.111500000000E+2
5.086754643206E+2	2.159800000000E+2
5.086950146628E+2	2.119000000000E+2
5.087145650049E+2	2.083300000000E+2
5.087341153470E+2	2.111700000000E+2
5.087536656891E+2	2.144000000000E+2
5.087732160313E+2	2.179400000000E+2
5.087927663734E+2	2.152900000000E+2
5.088123167155E+2	2.131600000000E+2
5.088318670577E+2	2.151700000000E+2
5.088514173998E+2	2.174400000000E+2
5.088709677419E+2	2.200600000000E+2
5.088905180841E+2	2.224800000000E+2
5.089100684262E+2	2.252800000000E+2
5.089296187683E+2	2.284700000000E+2
5.089491691105E+2	2.326800000000E+2
5.089687194526E+2	2.373900000000E+2
5.089882697947E+2	2.389900000000E+2
5.090078201369E+2	2.409600000000E+2
5.090273704790E+2	2.432800000000E+2
5.090469208211E+2	2.466800000000E+2
5.090664711632E+2	2.506300000000E+2
5.090860215054E+2	2.539500000000E+2
5.091055718475E+2	2.576800000000E+2
5.091251221896E+2	2.616800000000E+2
5.091446725318E+2	2.650400000000E+2
5.091642228739E+2	2.689300000000E+2
5.091837732160E+2	2.696200000000E+2
5.092033235582E+2	2.707000000000E+2
5.092228739003E+2	2.720200000000E+2
5.092424242424E+2	2.775000000000E+2
5.092619745846E+2	2.835100000000E+2
5.092815249267E+2	2.851100000000E+2
5.093010752688E+2	2.870800000000E+2
5.093206256109E+2	2.893000000000E+2
5.093401759531E+2	2.959200000000E+2
5.093597262952E+2	3.030300000000E+2
5.093792766373E+2	3.067800000000E+2
5.093988269795E+2	3.108600000000E+2
5.094183773216E+2	3.152500000000E+2
5.094379276637E+2	3.164600000000E+2
5.094574780059E+2	3.180200000000E+2
5.094770283480E+2	3.199200000000E+2
5.094965786901E+2	3.216900000000E+2
5.095161290323E+2	3.239600000000E+2
5.095356793744E+2	3.288000000000E+2
5.095552297165E+2	3.339500000000E+2
5.095747800587E+2	3.394000000000E+2
5.095943304008E+2	3.393900000000E+2
5.096138807429E+2	3.397600000000E+2
5.096334310850E+2	3.416400000000E+2
5.096529814272E+2	3.439000000000E+2
5.096725317693E+2	3.464700000000E+2
5.096920821114E+2	3.495600000000E+2
5.097116324536E+2	3.530500000000E+2
5.097311827957E+2	3.585300000000E+2
5.097507331378E+2	3.642800000000E+2
5.097702834800E+2	3.704500000000E+2
5.097898338221E+2	3.765200000000E+2
5.098093841642E+2	3.830200000000E+2
5.098289345064E+2	3.884100000000E+2
5.098484848485E+2	3.940800000000E+2
5.098680351906E+2	4.000700000000E+2
5.098875855327E+2	4.042200000000E+2
