Wavelength	Intensity
5.050000000000E+2	1.382000000000E+1
5.050195503421E+2	1.646000000000E+1
5.050391006843E+2	1.164000000000E+1
5.050586510264E+2	9.500000000000E+0
5.050782013685E+2	1.135000000000E+1
5.050977517107E+2	1.055000000000E+1
5.051173020528E+2	1.340000000000E+1
5.051368523949E+2	1.841000000000E+1
5.051564027370E+2	1.304000000000E+1
5.051759530792E+2	1.466000000000E+1
5.051955034213E+2	1.140000000000E+1
5.052150537634E+2	1.166000000000E+1
5.052346041056E+2	1.489000000000E+1
5.052541544477E+2	1.251000000000E+1
5.052737047898E+2	1.833000000000E+1
5.052932551320E+2	1.385000000000E+1
5.053128054741E+2	1.287000000000E+1
5.053323558162E+2	1.569000000000E+1
5.053519061584E+2	1.011000000000E+1
5.053714565005E+2	1.184000000000E+1
5.053910068426E+2	9.890000000000E+0
5.054105571848E+2	1.135000000000E+1
5.054301075269E+2	1.699000000000E+1
5.054496578690E+2	1.027000000000E+1
5.054692082111E+2	1.276000000000E+1
5.054887585533E+2	1.108000000000E+1
5.055083088954E+2	1.298000000000E+1
5.055278592375E+2	1.874000000000E+1
5.055474095797E+2	1.229000000000E+1
5.055669599218E+2	1.509000000000E+1
5.055865102639E+2	1.175000000000E+1
5.056060606061E+2	1.195000000000E+1
5.056256109482E+2	1.613000000000E+1
5.056451612903E+2	1.410000000000E+1
5.056647116325E+2	1.620000000000E+1
5.056842619746E+2	2.187000000000E+1
5.057038123167E+2	1.537000000000E+1
5.057233626588E+2	1.858000000000E+1
5.057429130010E+2	1.463000000000E+1
5.057624633431E+2	1.378000000000E+1
5.057820136852E+2	1.662000000000E+1
5.058015640274E+2	1.340000000000E+1
5.058211143695E+2	1.744000000000E+1
5.058406647116E+2	1.304000000000E+1
5.058602150538E+2	1.143000000000E+1
5.058797653959E+2	1.395000000000E+1
5.058993157380E+2	1.120000000000E+1
5.059188660802E+2	1.672000000000E+1
5.059384164223E+2	1.430000000000E+1
5.059579667644E+2	1.513000000000E+1
5.059775171065E+2	1.947000000000E+1
5.059970674487E+2	1.502000000000E+1
5.060166177908E+2	1.854000000000E+1
5.060361681329E+2	1.388000000000E+1
5.060557184751E+2	1.330000000000E+1
5.060752688172E+2	1.623000000000E+1
5.060948191593E+2	1.217000000000E+1
5.061143695015E+2	1.237000000000E+1
5.061339198436E+2	1.688000000000E+1
5.061534701857E+2	1.339000000000E+1
5.061730205279E+2	1.820000000000E+1
5.061925708700E+2	1.679000000000E+1
5.062121212121E+2	1.827000000000E+1
5.062316715543E+2	2.270000000000E+1
5.062512218964E+2	1.779000000000E+1
5.062707722385E+2	1.944000000000E+1
5.062903225806E+2	1.731000000000E+1
5.063098729228E+2	1.847000000000E+1
5.063294232649E+2	2.319000000000E+1
5.063489736070E+2	2.158000000000E+1
5.063685239492E+2	2.563000000000E+1
5.063880742913E+2	2.197000000000E+1
5.064076246334E+2	2.042000000000E+1
5.064271749756E+2	2.198000000000E+1
5.064467253177E+2	2.102000000000E+1
5.064662756598E+2	2.732000000000E+1
5.064858260020E+2	2.276000000000E+1
5.065053763441E+2	2.230000000000E+1
5.065249266862E+2	2.583000000000E+1
5.065444770283E+2	2.323000000000E+1
